section,name,kind,flops,extra
breakdown,qkv_proj,matmul,3623878656,
breakdown,scores_QK,matmul,1610612736,
breakdown,attn_AV,matmul,1610612736,
breakdown,out_proj,matmul,1207959552,
breakdown,mlp_up,matmul,4831838208,
breakdown,mlp_down,matmul,4831838208,
breakdown,layernorm,elementwise,12582912,
breakdown,softmax,elementwise,62914560,
breakdown,gelu,elementwise,25165824,
breakdown,residual,elementwise,1572864,
breakdown,scale,elementwise,12582912,
verify,hand_matmul,flops,17716740096,
verify,counter_explicit,flops,17716740096,
verify,counter_fused_sdpa,flops,14495514624,
verify,fwd,flops,17716740096,
verify,fwd_bwd,flops,53150220288,
seq_sweep,128,attn_share_pct,1862270976,2.7027027027027026
seq_sweep,256,attn_share_pct,3825205248,5.2631578947368425
seq_sweep,512,attn_share_pct,8053063680,10.0
seq_sweep,1024,attn_share_pct,17716740096,18.181818181818183
seq_sweep,2048,attn_share_pct,41875931136,30.76923076923077
seq_sweep,4096,attn_share_pct,109521666048,47.05882352941177
seq_sweep,8192,attn_share_pct,322122547200,64.0
seq_sweep,16384,attn_share_pct,1056561954816,78.04878048780488
seq_sweep,32768,attn_share_pct,3762391351296,87.67123287671232
