achieved,blocks_per_sm,chains,gloads,ms,peak_blocks,regs,section,tflops,theo,theo_limit,tpb,x
0.4883,,,4.084,2.439104,32,,blocksize,,0.5,,608,32
0.9755,,,4.102,4.856576,32,,blocksize,,1.0,,608,64
0.9761,,,4.111,9.693184,16,,blocksize,,1.0,,608,128
0.9767,,,4.116,19.359743,8,,blocksize,,1.0,,608,256
0.976,,,4.117,38.71632,4,,blocksize,,1.0,,608,512
0.9808,,,4.111,77.535873,2,,blocksize,,1.0,,608,1024
0.0066,,,0.753,0.17408,1,,gridsize,,1.0,,256,1
0.0132,,,1.326,0.197632,1,,gridsize,,1.0,,256,2
0.0263,,,2.044,0.256512,1,,gridsize,,1.0,,256,4
0.0525,,,2.66,0.39424,1,,gridsize,,1.0,,256,8
0.1051,,,3.793,0.55296,1,,gridsize,,1.0,,256,16
0.1984,,,4.08,1.028096,2,,gridsize,,1.0,,256,32
0.3809,,,3.944,2.126848,4,,gridsize,,1.0,,256,64
0.8076,,,4.075,4.117504,7,,gridsize,,1.0,,256,128
0.848,,,4.035,8.316544,8,,gridsize,,1.0,,256,256
0.9324,,,4.045,16.592512,8,,gridsize,,1.0,,256,512
0.9771,,,4.124,19.322529,8,,sharedmem,,1.0,,256,1
0.9768,,,4.125,19.321472,8,,sharedmem,,1.0,,256,2
0.9769,,,4.124,19.32288,8,,sharedmem,,1.0,,256,4
0.977,,,4.123,19.326977,8,,sharedmem,,1.0,,256,6
0.9774,,,4.123,19.327553,8,,sharedmem,,1.0,,256,8
0.818,,,4.047,19.692545,7,,sharedmem,,0.875,,256,12
0.599,,,4.044,19.703808,5,,sharedmem,,0.625,,256,16
0.3642,,,4.093,19.470337,3,,sharedmem,,0.375,,256,24
0.245,,,4.122,19.332096,2,,sharedmem,,0.25,,256,32
0.0312,1,1,,0.075424,1,21,ilp,0.6449,0.0312,1.0,,
0.0624,2,1,,0.073728,2,21,ilp,1.3194,0.0625,1.0,,
0.1243,4,1,,0.0768,4,21,ilp,2.5333,0.125,1.0,,
0.2458,8,1,,0.079872,8,21,ilp,4.8718,0.25,1.0,,
0.4624,16,1,,0.11776,16,21,ilp,6.6087,0.5,1.0,,
0.596,32,1,,0.233472,26,21,ilp,6.6667,1.0,1.0,,
0.0312,1,4,,0.08192,1,21,ilp,2.375,0.0312,1.0,,
0.0624,2,4,,0.082944,2,21,ilp,4.6914,0.0625,1.0,,
0.1158,4,4,,0.108544,4,21,ilp,7.1698,0.125,1.0,,
0.2092,8,4,,0.201728,8,21,ilp,7.7157,0.25,1.0,,
0.4374,16,4,,0.37376,16,21,ilp,8.3288,0.5,1.0,,
0.7634,32,4,,0.734208,32,21,ilp,8.4798,1.0,1.0,,
0.0312,1,16,,0.242688,1,28,ilp,3.2068,0.0312,1.0,,
0.0624,2,16,,0.242688,2,28,ilp,6.4135,0.0625,1.0,,
0.1174,4,16,,0.403264,4,28,ilp,7.7194,0.125,1.0,,
0.2407,8,16,,0.741888,8,28,ilp,8.392,0.25,1.0,,
0.4853,16,16,,1.46096,16,28,ilp,8.5231,0.5,1.0,,
0.931,32,16,,2.914304,32,28,ilp,8.5453,1.0,1.0,,
0.0312,1,64,,0.812032,1,72,ilp,3.8335,0.0312,0.4375,,
0.0624,2,64,,0.812736,2,72,ilp,7.6604,0.0625,0.4375,,
0.1243,4,64,,1.462272,4,72,ilp,8.5154,0.125,0.4375,,
0.2493,8,64,,2.84672,8,72,ilp,8.7482,0.25,0.4375,,
0.2894,16,64,,7.826336,14,72,ilp,6.3641,0.4375,0.4375,,
0.3239,32,64,,14.220928,14,72,ilp,7.0048,0.4375,0.4375,,
