mode,ms,order,section,tflops,total_iters,warp_iters,ways
0,0.049656,,ways,6.2691,,,1
0,0.09496,,ways,3.2782,,,2
0,0.191704,,ways,1.6238,,,4
0,0.37746,,ways,0.8247,,,8
0,0.753024,,ways,0.4134,,,16
0,1.50016,,ways,0.2075,,,32
1,0.04992,,ways,6.2359,,,1
1,0.048384,,ways,6.4339,,,2
1,0.050772,,ways,6.1313,,,4
1,0.05056,,ways,6.157,,,8
1,0.051664,,ways,6.0254,,,16
1,0.075756,,ways,4.1092,,,32
0,0.094208,,tiny,3.3043,,,
1,0.095616,,tiny,3.2557,,,
,0.027443,random,ragged,,39278768,2370640,
,0.016966,sorted,ragged,,39278768,1228435,
