config,arithmetic_intensity,shared_bytes,threads,occupancy,ms,tflops,pct_peak,roofline_tflops
naive,0.25,0,256,1.0,55.577381,0.31,3.7851037851037854,0.0555
reg_32x32_k32_1x1,8.0,8192,1024,0.5,29.655493,0.58,7.0818070818070815,1.776
smem_8x8,2.0,512,64,1.0,29.091745,0.59,7.203907203907204,0.444
smem_16x16,4.0,2048,256,1.0,14.865408,1.16,14.163614163614163,0.888
smem_32x32,8.0,8192,1024,1.0,14.352167,1.2,14.652014652014653,1.776
reg_64x64_k16_2x2,16.0,8192,1024,0.5,13.039821,1.32,16.117216117216117,3.552
reg_128x128_k8_4x4,32.0,8192,1024,0.5,6.905856,2.49,30.40293040293041,7.104
reg_64x64_k8_4x4,16.0,4096,256,0.5,6.407168,2.68,32.72283272283273,3.552
reg_64x64_k16_4x4,16.0,8192,256,0.5,5.699994,3.01,36.75213675213676,3.552
reg_256x128_k8_8x8,42.667,12288,512,0.25,5.149862,3.34,40.781440781440786,8.19
reg_128x64_k8_8x4,21.333,6144,256,0.375,4.482387,3.83,46.76434676434677,4.735925999999999
reg_128x128_k16_8x8,32.0,16384,256,0.25,4.194695,4.1,50.061050061050054,7.104
reg_128x128_k8_8x8,32.0,8192,256,0.25,4.019917,4.27,52.136752136752136,7.104
cublas,0.0,0,0,0.0,2.389581,7.19,87.78998778998779,
