experiment,setting,ms,gbs,pct_of_peak
variant,1 element per thread (textbook),3.859251,208.67,81.42901740419886
variant,float2 (8 B per instruction),3.832218,210.14,82.00265355498323
variant,float4 (16 B per instruction),3.822243,210.69,82.21727932568486
variant,"grid-stride loop, scalar",3.981721,202.25,78.92374931709982
variant,"grid-stride loop, float4",3.867114,208.24,81.26121907437759
block,32,4.002816,201.18,78.50620463591665
block,64,3.855027,208.9,81.51876999921954
block,128,3.855975,208.85,81.4992585655194
block,256,3.859753,208.64,81.41731054397877
block,512,3.858634,208.7,81.44072426441895
block,1024,3.859654,208.65,81.4212128307188
grid,1 blocks/SM,3.850851,209.12,81.6046203075002
grid,2 blocks/SM,3.846963,209.34,81.69047061578085
grid,4 blocks/SM,3.850131,209.16,81.62022945446031
grid,8 blocks/SM,3.866726,208.27,81.27292593459768
grid,16 blocks/SM,3.859789,208.64,81.41731054397877
grid,32 blocks/SM,3.849933,209.17,81.62413174120034
grid,64 blocks/SM,3.842234,209.59,81.7880277842816
grid,128 blocks/SM,3.838157,209.82,81.87778037930228
cost,"read 2 arrays, no write",2.412339,222.55,86.84539139936003
cost,copy: 1 read + 1 write,2.667101,201.29,78.54912979005698
cost,write only,1.220189,220.0,85.85030828065247
cost,vector add: 2 reads + 1 write,3.859456,208.66,81.42511511745883
cost,"write half the floats, contiguous [control]",0.610864,219.72,85.74104425193164
cost,"write half the floats, every other one",1.544704,86.89,33.906969484117695
ratio,1 reads : 1 write,2.666701,201.32,78.56083665027707
ratio,2 reads : 1 write,3.859763,208.64,81.41731054397877
ratio,3 reads : 1 write,5.143331,208.76,81.46413798485914
ratio,4 reads : 1 write,6.418841,209.1,81.59681573402014
ratio,read-only,2.412339,222.55,86.84539139936003
size,4096 B array,0.001208,6.78,2.6457504097401077
size,8192 B array,0.001456,11.26,4.393974869273395
size,16384 B array,0.001502,21.81,8.510887380004682
size,32768 B array,0.001411,46.44,18.12221962069773
size,65536 B array,0.001323,99.04,38.64824787325373
size,131072 B array,0.001516,172.87,67.45883087489268
size,262144 B array,0.001893,277.02,108.10114727230157
size,524288 B array,0.002524,415.4,162.10099118083198
size,1048576 B array,0.004411,475.43,185.52641848123
size,2097152 B array,0.021956,191.03,74.54538359478654
size,4194304 B array,0.042948,195.32,76.21946460625927
size,8388608 B array,0.084992,197.4,77.03114024818544
size,16777216 B array,0.168691,198.91,77.62038554592992
size,33554432 B array,0.33552,200.01,78.04963708733318
size,67108864 B array,0.670624,200.14,78.10036681495356
size,134217728 B array,1.337344,200.72,78.32669944587529
size,268435456 B array,2.68176,200.19,78.11987824865372
