section,key,value,ms,gbs
A,max_error,5.96e-08,,
B,no_sync,,0.017,
B,with_sync,,3.8731,
C,block_32,2097152,4.0009,201.28
C,block_64,1048576,3.8537,208.97
C,block_128,524288,3.8562,208.83
C,block_256,262144,3.8572,208.78
C,block_512,131072,3.8573,208.77
C,block_1024,65536,3.859,208.68
D,stride_1waves,19,5.5664,144.67
D,stride_2waves,38,4.1282,195.07
D,stride_4waves,76,3.9344,204.69
D,stride_8waves,152,3.905,206.23
D,stride_16waves,304,3.9311,204.86
D,stride_32waves,608,3.8902,207.01
D,stride_64waves,1216,3.8697,208.1
E,h2d_ms,,42.574,
E,kernel_ms,,3.857,
E,d2h_ms,,21.08,
E,cpu1_ms,,48.341,
E,cpu_omp_ms,,39.581,
F,k_1,,67.512,39.581
F,k_2,,71.369,79.163
F,k_4,,79.083,158.326
F,k_8,,94.512,316.652
F,k_16,,125.37,633.304
F,k_32,,187.085,1266.607
F,k_64,,310.515,2533.214
F,k_128,,557.376,5066.429
F,k_256,,1051.099,10132.857
F,k_512,,2038.542,20265.715
F,k_1024,,4013.431,40531.429
G,slack,24,cudaSuccess,cudaSuccess
G,far,1048600,cudaSuccess,cudaErrorIllegalAddress
