n,kernel,ms,gflops,pct_peak,pct_cublas,max_err
1024,naive,4.4675,480.69,5.9,7.5,0.000e+00
1024,smem,1.7955,1196.05,14.6,18.8,0.000e+00
1024,tile1d,0.9998,2147.95,26.2,33.7,0.000e+00
1024,tile2d,0.5307,4046.60,49.4,63.5,0.000e+00
1024,vec,0.4753,4518.26,55.2,70.9,0.000e+00
1024,cublas,0.3369,6373.75,77.8,100.0,0.000e+00
2048,naive,36.5624,469.88,5.7,6.5,0.000e+00
2048,smem,14.4166,1191.68,14.6,16.5,0.000e+00
2048,tile1d,7.8236,2195.90,26.8,30.4,0.000e+00
2048,tile2d,3.5654,4818.44,58.8,66.7,0.000e+00
2048,vec,3.2908,5220.65,63.7,72.3,0.000e+00
2048,cublas,2.3799,7218.76,88.1,100.0,0.000e+00
4096,naive,395.1242,347.84,4.2,5.0,0.000e+00
4096,smem,113.6547,1209.27,14.8,17.3,0.000e+00
4096,tile1d,60.4005,2275.46,27.8,32.5,0.000e+00
4096,tile2d,27.5961,4980.37,60.8,71.1,0.000e+00
4096,vec,25.7270,5342.21,65.2,76.2,0.000e+00
4096,cublas,19.6167,7006.24,85.5,100.0,0.000e+00
