section,key,a,b,c
B,4x7,1.776e-08,1.776e-08,1.776e-08
B,128x129,2.000e-08,1.303e-08,2.000e-08
B,1024x512,8.613e-09,8.106e-09,8.613e-09
B,512x4096,1.414e-09,1.556e-09,1.414e-09
C,shift_+0,0,6.258e-09,0
C,shift_+20,0,7.561e-08,0
C,shift_+60,0,2.180e-07,0
C,shift_+88,61764,nan,0
C,shift_+100,262144,nan,0
C,shift_+200,262144,nan,0
C,shift_-100,0,1.805e-05,0
C,shift_-200,262144,nan,0
D,8192x512,0.1676,0.4892,2.92
D,4096x1024,0.1676,0.4891,2.92
D,2048x2048,0.1691,0.4880,2.89
D,1024x4096,0.1670,0.4891,2.93
E,N_64,199.9,80.8,14 regs 0 spill
E,N_128,200.6,159.4,17 regs 0 spill
E,N_256,201.0,286.5,24 regs 0 spill
E,N_512,201.4,281.1,24 regs 0 spill
E,N_1024,201.4,234.2,24 regs 0 spill
E,N_2048,201.6,209.4,24 regs 0 spill
E,N_4096,201.9,206.0,26 regs 0 spill
E,N_8192,202.5,205.5,32 regs 0 spill
E,N_16384,201.7,206.6,59 regs 0 spill
E,N_32768,199.1,207.7,106 regs 0 spill
E,N_65536,148.7,207.9,128 regs 68 spill
F,warps_1,0.1670,200.9,
F,warps_2,0.1662,201.9,
F,warps_4,0.1671,200.8,
F,warps_8,0.1679,199.8,
F,warps_16,0.1720,195.1,
