section,key,a,b,c
A,512x512x512,1.153e-04,1.125e-06,
A,700x900x1100,2.126e-04,1.273e-06,
A,64x4096x4096,8.617e-04,2.805e-06,
B,64x64x32 g8 w4 s2,5716,124,0
B,64x128x32 g8 w4 s2,5346,168,0
B,128x64x32 g8 w4 s2,4488,211,0
B,128x128x16 g8 w8 s2,4134,178,0
B,128x128x32 g8 w8 s2,4476,196,0
B,128x128x32 g8 w4 s2,1802,255,46
B,128x128x32 g1 w8 s2,4474,196,0
B,128x128x32 g8 w8 s3,4430,196,0
B,128x128x64 g8 w8 s2,did-not-compile,"out of resource: shared memory, Required: 65536, Hardware limit: 49152",
B,128x256x32 g8 w8 s2,1804,255,34
B,256x128x32 g8 w8 s2,1822,255,32
B,64x64x64 g8 w4 s2,5319,164,0
C,N_1024,64x64x32 g8 w4 s2,4893,4802
C,N_2048,64x64x32 g8 w4 s2,5684,5300
C,N_4096,64x128x32 g8 w4 s2,5500,5047
D,N_1024,4986,6262,79.6
D,N_2048,5730,7133,80.3
D,N_4096,5478,6884,79.6
E,4096x4096x4096,5459,1.000,cuda-ok
E,1024x1024x1024,4996,1.000,cuda-ok
E,1000x1000x1000,3372,1.049,cuda-cannot-run
E,64x4096x4096,4738,1.000,cuda-cannot-run
E,4096x64x4096,4644,1.000,cuda-cannot-run
E,4096x4096x64,4760,1.000,cuda-ok
E,8192x8192x128,5294,1.000,cuda-ok
F,N_1024,2,1.024,
F,N_2048,4,1.060,
F,N_4096,16,1.047,
