section,key,a,b,c
A,layernorm,1.195e-07,,
A,layernorm_chain,1.195e-07,,
A,ln+linear fused 1D,4.706e-07,,
A,ln+linear fused 2D,4.706e-07,,
B,shift_0,1.196e-07,1.173e-07,0
B,shift_100,2.190e-06,9.043e-04,0
B,shift_1000,1.962e-05,6.749e-02,0
B,shift_10000,3.202e-04,nan,15360
B,shift_100000,2.310e-03,nan,15488
C,one_kernel,0.0435,193.0,
C,four_kernels,0.1317,191.1,3.03
D,N_64,0.1366,0.0610,2.241
D,N_64_parts,0.0515,0.0777,mm 1728 GF/s vs fused 2201 GF/s
D,N_128,0.1385,0.1009,1.373
D,N_128_parts,0.0448,0.0844,mm 3181 GF/s vs fused 2661 GF/s
D,N_256,0.2020,0.1796,1.125
D,N_256_parts,0.0440,0.1486,mm 3612 GF/s vs fused 2989 GF/s
D,N_512,0.3292,0.3777,0.872
D,N_512_parts,0.0440,0.2760,mm 3891 GF/s vs fused 2843 GF/s
D,N_1024,0.5844,0.7236,0.808
D,N_1024_parts,0.0445,0.5320,mm 4036 GF/s vs fused 2968 GF/s
D,N_2048,1.0980,1.4165,0.775
D,N_2048_parts,0.0451,1.0445,mm 4112 GF/s vs fused 3032 GF/s
D,N_4096,2.1115,2.7959,0.755
D,N_4096_parts,0.0440,2.0593,mm 4171 GF/s vs fused 3072 GF/s
E,K64_32x64,24576,ok,0
E,K128_16x32,24576,ok,0
E,K128_32x64,49152,ok,0
E,K256_16x32,49152,ok,540
E,K256_32x32,65536,no-compile,
E,K512_16x16,65536,no-compile,
F,N_256,0.1827,7.0855,38.781
F,N_1024,0.7254,28.2254,38.911
F,N_4096,2.7967,112.7666,40.321
