section,key,a,b,c
A,S128_causal0,5.147e-07,5.326e-07,
A,S128_causal1,2.059e-07,2.833e-07,
A,S256_causal0,4.144e-07,4.508e-07,
A,S256_causal1,2.284e-07,2.412e-07,
B,S_512,16777216,4194304,fits
B,S_1024,67108864,8388608,fits
B,S_2048,268435456,16777216,fits
B,S_4096,1073741824,33554432,fits
B,S_8192,4294967296,67108864,fits
B,S_16384,17179869184,134217728,no-fit
B,S_32768,68719476736,268435456,no-fit
C,S_256,0.6440,0.1086,5.929
D,S_256,10.5,5.2,2.00
C,S_512,0.9527,0.4251,2.241
D,S_512,37.7,18.9,2.00
C,S_1024,2.2229,1.5750,1.411
D,S_1024,142.6,71.3,2.00
C,S_2048,5.8632,5.7797,1.014
D,S_2048,553.6,276.8,2.00
C,S_4096,22.3373,23.0078,0.971
D,S_4096,2181.0,1090.5,2.00
E,S_1024,1.782,0.870,
E,S_2048,1.792,0.817,
E,S_4096,1.934,0.807,
F,32x32_w4,1466,96,0
F,64x32_w4,1410,255,22
F,64x32_w8,1478,116,0
F,64x64_w4,1452,191,0
F,64x64_w8,1480,255,2
F,128x32_w8,did-not-compile,"out of resource: shared memory, Required: 57856, Hardware li",
