key,value
A_platform,cpu
A_jax_version,0.11.0
A_device_kind,cpu
A_has_mxu,False
B_python_body_runs,1
B_jit_calls,5
B_traced_type,DynamicJaxprTracer
B_python_if_error,TracerBoolConversionError
B_lax_cond_ok,True
C_compile_ms,14.7
C_run_ms,0.3178
C_runs_to_amortize,46
C_ragged_shapes,8
C_ragged_compiles,8
C_ragged_ms,650.4
C_bucket_compiles,1
C_bucket_ms,65.6
C_bucket_speedup,9.92
C_bucket_wasted_frac,0.4485
D_hlo_ops_before,10
D_hlo_ops_after,1
D_fusions_after,1
D_fusion_name,multiply_exponential_fusion
D_n,2097152
D_ms_jit,1.762
D_ms_jax_eager,8.917
D_ms_numpy,12.311
D_speedup_vs_eager,5.06
D_speedup_vs_numpy,6.99
D_gbs_jit,19.0
D_ops_in_chain,6
E_all_exact,True
E_util_128_M4096,0.9414
E_util_129_M4096,0.4814
E_cliff_ratio_M4096,1.96
E_util_128,0.6675
E_util_136,0.3847
E_cliff_ratio,1.74
E_util_256,0.6675
E_util_8,0.0495
E_util_M1,0.0039
E_util_M512,0.6675
E_pad_vocab_gain,1.0007
E_head_merge_gain,3.33
F_numpy_dtype,float64
F_jax_dtype,float32
F_silent_downgrade,True
F_bf16_over_f32,5253.2
runtime_s,3.1

mxu_N,cycles,tiles,util_M512,util_M4096
1,640,1,0.0063,0.0076
2,641,1,0.0125,0.0151
3,642,1,0.0187,0.0227
4,643,1,0.0249,0.0303
5,644,1,0.0311,0.0378
6,645,1,0.0372,0.0454
7,646,1,0.0433,0.053
8,647,1,0.0495,0.0605
9,648,1,0.0556,0.0681
10,649,1,0.0616,0.0756
11,650,1,0.0677,0.0831
12,651,1,0.0737,0.0907
13,652,1,0.0798,0.0982
14,653,1,0.0858,0.1057
15,654,1,0.0917,0.1133
16,655,1,0.0977,0.1208
17,656,1,0.1037,0.1283
18,657,1,0.1096,0.1358
19,658,1,0.1155,0.1433
20,659,1,0.1214,0.1508
21,660,1,0.1273,0.1583
22,661,1,0.1331,0.1658
23,662,1,0.139,0.1733
24,663,1,0.1448,0.1808
25,664,1,0.1506,0.1883
26,665,1,0.1564,0.1958
27,666,1,0.1622,0.2033
28,667,1,0.1679,0.2108
29,668,1,0.1737,0.2183
30,669,1,0.1794,0.2257
31,670,1,0.1851,0.2332
32,671,1,0.1908,0.2407
40,679,1,0.2356,0.3003
48,687,1,0.2795,0.3596
56,695,1,0.3223,0.4188
64,703,1,0.3642,0.4777
72,711,1,0.4051,0.5364
80,719,1,0.4451,0.5949
88,727,1,0.4842,0.6532
96,735,1,0.5224,0.7113
104,743,1,0.5599,0.7691
112,751,1,0.5965,0.8268
120,759,1,0.6324,0.8842
128,767,1,0.6675,0.9414
129,1407,2,0.3667,0.4814
136,1414,2,0.3847,0.5071
144,1422,2,0.4051,0.5364
152,1430,2,0.4252,0.5657
160,1438,2,0.4451,0.5949
168,1446,2,0.4647,0.6241
176,1454,2,0.4842,0.6532
184,1462,2,0.5034,0.6823
192,1470,2,0.5224,0.7113
200,1478,2,0.5413,0.7402
208,1486,2,0.5599,0.7691
216,1494,2,0.5783,0.798
224,1502,2,0.5965,0.8268
232,1510,2,0.6146,0.8555
240,1518,2,0.6324,0.8842
248,1526,2,0.6501,0.9128
256,1534,2,0.6675,0.9414
257,2174,3,0.4729,0.6362
264,2181,3,0.4842,0.6532
272,2189,3,0.497,0.6726
280,2197,3,0.5098,0.6919
288,2205,3,0.5224,0.7113
296,2213,3,0.535,0.7306
304,2221,3,0.5475,0.7499
312,2229,3,0.5599,0.7691
320,2237,3,0.5722,0.7884
328,2245,3,0.5844,0.8076
336,2253,3,0.5965,0.8268
344,2261,3,0.6086,0.8459
352,2269,3,0.6205,0.8651
360,2277,3,0.6324,0.8842
368,2285,3,0.6442,0.9033
376,2293,3,0.6559,0.9223
384,2301,3,0.6675,0.9414
392,2948,4,0.5319,0.7258
400,2956,4,0.5413,0.7402
408,2964,4,0.5506,0.7547
416,2972,4,0.5599,0.7691
424,2980,4,0.5691,0.7836
432,2988,4,0.5783,0.798
440,2996,4,0.5874,0.8124
448,3004,4,0.5965,0.8268
456,3012,4,0.6056,0.8411
464,3020,4,0.6146,0.8555
472,3028,4,0.6235,0.8698
480,3036,4,0.6324,0.8842
488,3044,4,0.6413,0.8985
496,3052,4,0.6501,0.9128
504,3060,4,0.6588,0.9271
512,3068,4,0.6675,0.9414
520,3715,5,0.5599,0.7691
528,3723,5,0.5673,0.7807
536,3731,5,0.5746,0.7922
544,3739,5,0.582,0.8037

mxu_M,util_overlapped,util_serial
1,0.0039,0.0026
2,0.0078,0.0052
4,0.0154,0.0103
8,0.0304,0.0205
16,0.059,0.0401
32,0.1115,0.0771
64,0.2006,0.1432
128,0.3342,0.2505
256,0.501,0.4006
512,0.6675,0.5721
1024,0.8006,0.7278
4096,0.9414,0.9145
