section,world,metric,value
C,2,local,0.04263214021921158
C,2,ddp,0.05765632167458534
C,2,fsdp,0.11858231574296951
C,2,params_per_rank_MB,9.464852
C,4,local,0.0878547802567482
C,4,ddp,0.12563061714172363
C,4,fsdp,0.25773319602012634
C,4,params_per_rank_MB,4.733964
C,6,local,0.1416410207748413
C,6,ddp,0.2085479348897934
C,6,fsdp,0.4674447774887085
C,6,params_per_rank_MB,3.155976
AB,2,fsdp_wire_bytes,28394556.0
AB,2,ddp_wire_bytes,18929704.0
AB,2,wire_ratio,1.5
AB,2,shard_ratio,0.5
AB,4,fsdp_wire_bytes,42605676.0
AB,4,ddp_wire_bytes,28394556.0
AB,4,wire_ratio,1.5004874878128047
AB,4,shard_ratio,0.25008124796880077
