section,key,flat_ms,hier_ms,speedup
C,lat0us_bw0,11.747,11.099,1.058
C,lat0us_bw5.0,9.976,14.077,0.709
C,lat100us_bw5.0,10.286,12.891,0.798
C,lat100us_bw1.0,16.076,12.472,1.289
C,lat100us_bw0.2,57.703,42.968,1.343
D,bw20.0,9.613,13.840,0.695
D,bw10.0,10.718,12.711,0.843
D,bw5.0,9.590,10.586,0.906
D,bw2.0,11.965,12.845,0.932
D,bw1.0,15.111,12.329,1.226
D,bw0.5,23.069,15.268,1.511
E,NVLink 4 (H100, in-node),29.185,29.172,1.000
E,InfiniBand NDR 400 Gb/s,91.165,62.227,1.465
E,InfiniBand HDR 200 Gb/s,156.790,97.227,1.613
E,100 GbE,288.040,167.227,1.722
E,10 GbE,2650.540,1427.227,1.857
