section,key,value
C_prefill,tok_per_s@16,153.6
C_prefill,tok_per_s@64,311.1
C_prefill,tok_per_s@256,455.4
C_prefill,tok_per_s@1024,425.0
D_decode,tok_per_s@b1,12.3
D_decode,step_ms@b1,81.1
D_decode,tok_per_s@b2,20.8
D_decode,step_ms@b2,96.2
D_decode,tok_per_s@b4,39.6
D_decode,step_ms@b4,100.9
D_decode,tok_per_s@b8,78.3
D_decode,step_ms@b8,102.2
D_decode,tok_per_s@b16,146.1
D_decode,step_ms@b16,109.5
D_decode,tok_per_s@b32,235.8
D_decode,step_ms@b32,135.7
E_roofline,decode_effective_bandwidth_GB_s,24.4
E_roofline,prefill_over_decode,34.6
B_cache,speedup,9.78
