section,key,value
A,fragment_tokens,1457
A,fragment_pct,0.96
B,naive_passed,4
B,incremental_passed,10
C_fuzz_uniform_tokens,naive_error_rate,0.0
C_fuzz_uniform_tokens,incremental_accuracy,1.0
C_fuzz_uniform_tokens,decode_all_accuracy,1.0
C_fuzz_uniform_tokens,max_pending_tokens,2
C_fuzz_random_text,naive_error_rate,0.9644
C_fuzz_random_text,incremental_accuracy,1.0
C_fuzz_random_text,decode_all_accuracy,1.0
C_fuzz_random_text,max_pending_tokens,3
D,naive_replacement_chars,21
E,ratio@250,5.96
E,ratio@500,12.87
E,ratio@1000,26.02
E,ratio@2000,51.69
E,ratio@4000,103.79
