section,key,value
A,bitwise_different_of_100,0
B,max_abs_diff@batch2,1.71661376953125e-05
B,max_abs_diff@batch4,1.8596649169921875e-05
B,max_abs_diff@batch8,3.24249267578125e-05
B,max_abs_diff@batch16,3.337860107421875e-05
B,max_abs_diff@batch32,3.0994415283203125e-05
C,max_abs_diff@threads1,3.24249267578125e-05
C,max_abs_diff@threads2,3.910064697265625e-05
C,max_abs_diff@threads3,2.6702880859375e-05
C,max_abs_diff@threads12,0.0
D,max_abs_diff@pad1,4.00543212890625e-05
D,max_abs_diff@pad8,3.1948089599609375e-05
D,max_abs_diff@pad64,4.1961669921875e-05
E,divergence_rate,0.0
F,median_gap,5.1444
F,min_gap,0.009995
G,bf16_tie_rate,0.0083
H,divergence_rate,0.0
