section,key,value
A_no_load,share_pct_tokenize,0.0
A_no_load,share_pct_queue,0.0
A_no_load,share_pct_prefill,33.2
A_no_load,share_pct_decode,66.5
A_no_load,share_pct_other,0.3
A_no_load,median_total_s,2.312
A_no_load,max_total_s,6.255
B_under_load,share_pct_tokenize,0.0
B_under_load,share_pct_queue,81.6
B_under_load,share_pct_prefill,6.4
B_under_load,share_pct_decode,11.9
B_under_load,share_pct_other,0.1
B_under_load,median_total_s,19.561
B_under_load,max_total_s,36.361
C,gap_s,16.687
C,queue_delta_s,13.856
C,prefill_delta_s,2.887
C,decode_delta_s,-0.056
C,other_delta_s,-0.003
C,queue_share_of_gap_pct,83.0
C,slow_prompt_tokens,777
C,median_prompt_tokens,10
D,client_median_e2e_s,19.563
D,server_median_total_s,19.561
D,unexplained_s,0.002
D,unexplained_pct,0.0
D,client_median_ttft_s,17.305
D,server_median_ttft_s,17.302
D,ttft_unexplained_ms,2.3
D,client_max_e2e_s,36.363
D,server_max_total_s,36.361
D,median_other_stage_pct,0.1
E,no_load_n_steps,138
E,no_load_p50_ms,93.6
E,no_load_p99_ms,150.1
E,no_load_max_ms,171.5
E,under_load_n_steps,368
E,under_load_p50_ms,96.3
E,under_load_p99_ms,131.8
E,under_load_max_ms,149.9
