section,key,value
A,llm_prefill_ms,105.8
A,llm_decode_step_ms,94.7
A,sd_unet_step_1_image_ms,829.3
A,sd_unet_step_cfg_ms,1428.0
A,sd_vae_decode_ms,1507.8
A,llm_prefill_tokens_ms,10
B,llm_gain@b1,1.0
B,sd_gain@b1,1.0
B,llm_gain@b2,1.66
B,sd_gain@b2,1.25
B,llm_gain@b4,3.18
B,sd_gain@b4,1.56
B,llm_gain@b8,6.47
B,sd_gain@b8,1.41
C,LLM_concurrency_1|first_content_s,0.122
C,LLM_concurrency_1|e2e_s,2.289
C,LLM_concurrency_1|req_per_s,0.411
C,LLM_concurrency_4|first_content_s,7.826
C,LLM_concurrency_4|e2e_s,10.118
C,LLM_concurrency_4|req_per_s,0.386
C,diffusion_concurrency_1|first_content_s,13.168
C,diffusion_concurrency_1|e2e_s,13.169
C,diffusion_concurrency_1|req_per_s,0.076
C,diffusion_concurrency_4|first_content_s,30.764
C,diffusion_concurrency_4|e2e_s,30.765
C,diffusion_concurrency_4|req_per_s,0.088
C,diffusion_+_per-step_preview|first_content_s,2.894
C,diffusion_+_per-step_preview|e2e_s,19.193
C,diffusion_+_per-step_preview|req_per_s,0.052
D,seconds@4steps,6.98
D,seconds@8steps,12.89
D,seconds@12steps,18.71
E,llm_kv_bytes_per_token,24576
E,llm_kv_bytes_at_1k_tokens,25165824
E,llm_kv_bytes_at_8k_tokens,201326592
E,sd_latent_bytes,16384
E,sd_latent_bytes_at_any_step_count,16384
E,ratio_at_1k,1536.0
