section,key,value
B,cached_total_s,2.5583105710102245
B,nocache_total_s,15.059898238978349
B,speedup,5.886657550350309
B,cached_median_step_s,0.08498715399764478
B,nocache_median_step_s,0.6255830579902977
B,tokens_identical,True
C,formula_bytes_per_token_fp32,24576
C,measured_bytes_per_token_fp32,24576.0
D,ctx_128_step_ms,82.89
D,ctx_128_kv_mb,3.27
D,ctx_512_step_ms,88.98
D,ctx_512_kv_mb,12.71
D,ctx_1024_step_ms,108.45
D,ctx_1024_kv_mb,25.29
D,ctx_2048_step_ms,130.67
D,ctx_2048_kv_mb,50.45
D,ctx_4096_step_ms,187.81
D,ctx_4096_kv_mb,100.79
