model,gpu,free_gb,bf16,fp8,int4
Qwen2.5-0.5B,A100-40GB,35.02,347,695,1391
Qwen2.5-0.5B,A100-80GB,71.02,705,1411,2822
Qwen2.5-0.5B,H100-80GB,71.02,705,1411,2822
Qwen2.5-0.5B,H200-141GB,125.92,1250,2501,5003
Llama-2-13B,A100-40GB,10.0,1,2,5
Llama-2-13B,A100-80GB,46.0,6,13,27
Llama-2-13B,H100-80GB,46.0,6,13,27
Llama-2-13B,H200-141GB,100.9,15,30,60
Falcon-7B,A100-40GB,21.6,321,643,1287
Falcon-7B,A100-80GB,57.6,858,1716,3433
Falcon-7B,H100-80GB,57.6,858,1716,3433
Falcon-7B,H200-141GB,112.5,1676,3352,6705
Llama-3.1-8B,A100-40GB,19.94,18,37,74
Llama-3.1-8B,A100-80GB,55.94,52,104,208
Llama-3.1-8B,H100-80GB,55.94,52,104,208
Llama-3.1-8B,H200-141GB,110.84,103,206,412
Llama-3.1-70B,A100-40GB,-105.2,0,0,0
Llama-3.1-70B,A100-80GB,-69.2,0,0,0
Llama-3.1-70B,H100-80GB,-69.2,0,0,0
Llama-3.1-70B,H200-141GB,-14.3,0,0,0
DeepSeek-V2-Lite,A100-40GB,4.6,18,36,72
DeepSeek-V2-Lite,A100-80GB,40.6,159,318,637
DeepSeek-V2-Lite,H100-80GB,40.6,159,318,637
DeepSeek-V2-Lite,H200-141GB,95.5,374,749,1499
