policy,kv_capacity,crashed,crashed_at_s,inflight_lost_at_crash,completed,completed_pct,rejected,preemptions,peak_kv_over_capacity,wasted_decode_tokens,wasted_frac,goodput_tok_s,ttft_p50,ttft_p99,e2e_p99,makespan_s
no check (crashes),4000,True,10.3,1,0,0.0,0,0,1.326,0,0.0,0.0,nan,nan,nan,10.3
reserve prompt only,4000,False,,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,nan,nan,7169.0
reserve prompt + mean answer,4000,False,,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,nan,nan,7169.0
reserve prompt + max_model_len,4000,False,,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,nan,nan,7169.0
no check (crashes),8000,True,39.7,7,0,0.0,0,0,1.007,0,0.0,0.0,nan,nan,nan,39.7
reserve prompt only,8000,False,,0,105,13.1,0,130,1.002,5024,0.1137,5.5,457.2,949.76,1064.29,7169.0
reserve prompt + mean answer,8000,False,,0,105,13.1,0,6,1.001,1103,0.0274,5.5,344.39,628.59,749.01,7169.0
reserve prompt + max_model_len,8000,False,,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,nan,nan,7169.0
no check (crashes),16000,True,121.7,14,5,0.6,0,0,1.039,0,0.0,4.1,21.35,28.87,57.77,121.7
reserve prompt only,16000,False,,0,800,100.0,0,662,1.001,19535,0.0611,27.1,2103.94,3878.25,4033.93,11079.4
reserve prompt + mean answer,16000,False,,0,800,100.0,0,109,1.001,8372,0.0271,31.4,1239.38,2383.15,2570.1,9541.1
reserve prompt + max_model_len,16000,False,,0,105,13.1,0,0,0.569,0,0.0,5.5,259.07,495.36,654.14,7169.0
no check (crashes),32000,True,191.6,21,6,0.8,0,0,1.006,0,0.0,3.8,21.09,28.87,130.39,191.6
reserve prompt only,32000,False,,0,800,100.0,0,410,1.001,8812,0.0285,32.7,983.16,2054.12,2512.72,9186.9
reserve prompt + mean answer,32000,False,,0,800,100.0,0,102,1.001,3453,0.0114,37.4,422.91,974.52,1484.22,8029.6
reserve prompt + max_model_len,32000,False,,0,800,100.0,0,0,0.797,0,0.0,37.2,460.28,1006.49,1348.56,8061.8
no check (crashes),64000,True,1655.1,41,154,19.2,0,0,1.016,0,0.0,28.6,5.88,63.81,684.34,1655.1
reserve prompt only,64000,False,,0,800,100.0,0,245,1.001,3602,0.0119,37.4,252.17,790.35,2313.71,8013.0
reserve prompt + mean answer,64000,False,,0,800,100.0,0,53,1.001,927,0.0031,40.7,40.5,257.34,1765.68,7373.1
reserve prompt + max_model_len,64000,False,,0,800,100.0,0,0,0.901,0,0.0,41.1,41.04,220.59,1549.14,7303.6
no check (crashes),128000,False,,0,800,100.0,0,0,0.77,0,0.0,41.2,7.11,68.02,1599.03,7282.2
reserve prompt only,128000,False,,0,800,100.0,0,0,0.77,0,0.0,41.2,7.11,68.02,1599.03,7282.2
reserve prompt + mean answer,128000,False,,0,800,100.0,0,0,0.77,0,0.0,41.2,7.11,68.02,1599.03,7282.2
reserve prompt + max_model_len,128000,False,,0,800,100.0,0,0,0.77,0,0.0,41.2,7.11,68.02,1599.03,7282.2
