policy,on_time,on_time_pct,completed,dropped,late_p50_s,lateness_sum_s,e2e_p50,e2e_p99,output_tok_s,util
FCFS,498,71.1,700,0,11.4,3883,32.4,204.6,17.6,0.5
shortest-job-first,499,71.3,700,0,11.6,3841,32.0,204.6,17.6,0.5
earliest-deadline-first,499,71.3,700,0,11.6,3841,32.0,204.6,17.6,0.5
least-slack-first,499,71.3,700,0,11.6,3841,32.0,204.6,17.6,0.5
FCFS,396,56.6,700,0,20.4,9247,43.4,267.5,24.6,0.7
shortest-job-first,397,56.7,700,0,17.5,8388,42.3,267.1,24.6,0.7
earliest-deadline-first,397,56.7,700,0,17.1,8415,41.9,267.5,24.6,0.7
least-slack-first,396,56.6,700,0,17.1,8370,42.0,267.5,24.6,0.7
FCFS,174,24.9,700,0,81.6,44839,114.8,410.3,31.0,0.9
shortest-job-first,242,34.6,700,0,23.7,26273,57.2,636.1,30.9,0.9
earliest-deadline-first,177,25.3,700,0,47.0,32523,77.8,418.3,31.0,0.9
least-slack-first,175,25.0,700,0,51.5,33583,80.9,415.5,31.0,0.9
FCFS,61,8.7,700,0,335.4,225947,374.6,828.2,33.7,1.1
shortest-job-first,173,24.7,700,0,27.8,105822,64.8,3247.0,33.8,1.1
earliest-deadline-first,57,8.1,700,0,299.3,205144,343.0,861.6,33.8,1.1
least-slack-first,57,8.1,700,0,301.0,206181,346.5,838.6,33.8,1.1
