group,setting,i2t_r1,i2t_r5,t2i_r1,t2i_r5,note
normalize,cosine (normalized),0.549,0.825,0.499,0.791,
normalize,raw dot product,0.299,0.623,0.418,0.739,text vector lengths vary ±0.79
gallery size,100 captions,0.87,0.99,0.85,0.99,
gallery size,250 captions,0.736,0.964,0.704,0.956,
gallery size,500 captions,0.64,0.888,0.598,0.874,
gallery size,1000 captions,0.549,0.825,0.499,0.791,
caption choice,caption #0,0.549,0.825,0.499,0.791,
caption choice,caption #1,0.557,0.835,0.534,0.813,
caption choice,caption #2,0.57,0.857,0.533,0.826,
caption choice,caption #3,0.554,0.839,0.495,0.792,
caption choice,caption #4,0.539,0.852,0.515,0.817,
ensembling,mean of 5 captions,0.781,0.959,0.66,0.912,
big gallery,"5,000 captions",0.711,0.915,,,correct = any of that image's own 5 captions
