dataset,name_source,prompt_style,accuracy,chance
imagenette,wnid,bare,0.0,0.001
imagenette,wnid,photo,0.0,0.001
imagenette,wnid,ensemble,0.0,0.001
imagenette,lemma,bare,0.582,0.001
imagenette,lemma,photo,0.622,0.001
imagenette,lemma,ensemble,0.635,0.001
imagenette,openai,bare,0.623,0.001
imagenette,openai,photo,0.628,0.001
imagenette,openai,ensemble,0.66,0.001
imagewoof,wnid,bare,0.0,0.001
imagewoof,wnid,photo,0.0,0.001
imagewoof,wnid,ensemble,0.0,0.001
imagewoof,lemma,bare,0.445,0.001
imagewoof,lemma,photo,0.487,0.001
imagewoof,lemma,ensemble,0.491,0.001
imagewoof,openai,bare,0.374,0.001
imagewoof,openai,photo,0.47,0.001
imagewoof,openai,ensemble,0.491,0.001
