arm,step,train_loss
layer-penult,0,4.25088
layer-penult,1,3.93534
layer-penult,2,3.68536
layer-penult,3,3.78731
layer-penult,4,3.85785
layer-penult,5,3.79039
layer-penult,6,3.71235
layer-penult,7,3.26082
layer-penult,8,3.41440
layer-penult,9,3.57184
layer-penult,10,3.49183
layer-penult,11,3.27351
layer-penult,12,3.80678
layer-penult,13,3.23939
layer-penult,14,3.56045
layer-penult,15,3.45990
layer-penult,16,4.07953
layer-penult,17,4.09156
layer-penult,18,3.30293
layer-penult,19,3.77742
layer-penult,20,3.61387
layer-penult,21,3.41542
layer-penult,22,3.27043
layer-penult,23,3.43707
layer-penult,24,3.61574
layer-penult,25,4.02697
layer-penult,26,3.45238
layer-penult,27,3.10515
layer-penult,28,3.21955
layer-penult,29,3.23030
layer-penult,30,3.30218
layer-penult,31,3.05946
layer-penult,32,3.15676
layer-penult,33,3.31517
layer-penult,34,3.48140
layer-penult,35,3.39863
layer-penult,36,3.61694
layer-penult,37,3.42736
layer-penult,38,2.87785
layer-penult,39,3.42028
layer-penult,40,3.26807
layer-penult,41,3.24046
layer-penult,42,3.87876
layer-penult,43,3.91316
layer-penult,44,3.38206
layer-penult,45,3.69453
layer-penult,46,3.54191
layer-penult,47,2.83660
layer-penult,48,3.46185
layer-penult,49,2.89479
layer-penult,50,2.74281
layer-penult,51,3.31923
layer-penult,52,3.26726
layer-penult,53,3.06726
layer-penult,54,3.46743
layer-penult,55,3.63051
layer-penult,56,3.03752
layer-penult,57,3.18754
layer-penult,58,3.46076
layer-penult,59,3.47689
layer-penult,60,3.36159
layer-penult,61,3.61850
layer-penult,62,3.69347
layer-penult,63,3.18614
layer-penult,64,3.85155
layer-penult,65,3.14827
layer-penult,66,3.59235
layer-penult,67,3.40344
layer-penult,68,2.57609
layer-penult,69,2.92919
layer-penult,70,3.35033
layer-penult,71,2.97407
layer-penult,72,3.71647
layer-penult,73,3.50792
layer-penult,74,2.95912
layer-penult,75,3.13728
layer-penult,76,3.56624
layer-penult,77,3.35762
layer-penult,78,4.03238
layer-penult,79,3.73651
layer-penult,80,3.06146
layer-penult,81,3.11795
layer-penult,82,3.37124
layer-penult,83,3.34132
layer-penult,84,3.77538
layer-penult,85,3.13414
layer-penult,86,3.28570
layer-penult,87,3.45195
layer-penult,88,4.22129
layer-penult,89,3.81913
layer-penult,90,4.16301
layer-penult,91,3.19154
layer-penult,92,3.08134
layer-penult,93,3.26823
layer-penult,94,3.83191
layer-penult,95,3.11370
layer-penult,96,3.45778
layer-penult,97,2.87453
layer-penult,98,3.68962
layer-penult,99,3.12159
layer-penult,100,3.04422
layer-penult,101,3.14335
layer-penult,102,3.16162
layer-penult,103,3.48227
layer-penult,104,3.58808
layer-penult,105,3.11011
layer-penult,106,3.65883
layer-penult,107,3.55205
layer-penult,108,3.60910
layer-penult,109,3.30668
layer-penult,110,3.17196
layer-penult,111,3.27846
layer-penult,112,3.58195
layer-penult,113,3.27951
layer-penult,114,3.29621
layer-penult,115,2.97399
layer-penult,116,3.52099
layer-penult,117,3.09209
layer-penult,118,3.55332
layer-penult,119,3.12026
layer-penult,120,3.27314
layer-penult,121,3.93888
layer-penult,122,3.13746
layer-penult,123,3.49722
layer-penult,124,3.03685
layer-penult,125,3.77443
layer-penult,126,3.53050
layer-penult,127,3.61386
layer-penult,128,3.21223
layer-penult,129,3.25706
layer-penult,130,3.27973
layer-penult,131,3.25503
layer-penult,132,3.02337
layer-penult,133,3.52237
layer-penult,134,3.36422
layer-penult,135,3.24220
layer-penult,136,3.28444
layer-penult,137,3.04067
layer-penult,138,3.58749
