arm,step,loss
stage2,0,3.7744
stage2,1,3.0445
stage2,2,1.6133
stage2,3,2.2139
stage2,4,2.7754
stage2,5,3.1247
stage2,6,2.1584
stage2,7,2.5792
stage2,8,2.0322
stage2,9,2.5509
stage2,10,1.9342
stage2,11,1.4738
stage2,12,2.6532
stage2,13,1.8799
stage2,14,2.0626
stage2,15,1.3715
stage2,16,1.3813
stage2,17,1.7276
stage2,18,2.5460
stage2,19,3.5387
stage2,20,2.8800
stage2,21,2.7128
stage2,22,1.5866
stage2,23,2.3592
stage2,24,2.8870
stage2,25,0.8169
stage2,26,1.7365
stage2,27,2.4990
stage2,28,2.6139
stage2,29,0.4873
stage2,30,1.5203
stage2,31,2.4022
stage2,32,2.9330
stage2,33,1.9670
stage2,34,2.0065
stage2,35,2.2083
stage2,36,2.1525
stage2,37,2.0499
stage2,38,2.2213
stage2,39,2.2040
stage2,40,1.9071
stage2,41,1.4836
stage2,42,0.4730
stage2,43,2.2809
stage2,44,1.0067
stage2,45,1.2418
stage2,46,2.9640
stage2,47,2.6396
stage2,48,0.3784
stage2,49,3.0574
stage2,50,2.7067
stage2,51,2.1968
stage2,52,2.3958
stage2,53,1.8071
stage2,54,3.0433
stage2,55,2.9053
stage2,56,2.4312
stage2,57,1.8357
stage2,58,2.6204
stage2,59,2.0542
stage2,60,1.3567
stage2,61,3.4046
stage2,62,2.6504
stage2,63,1.9730
stage2,64,3.5989
stage2,65,2.0581
stage2,66,2.4679
stage2,67,2.1098
stage2,68,0.4979
stage2,69,2.6384
stage2,70,1.6581
stage2,71,1.5577
stage2,72,1.5696
stage2,73,1.7071
stage2,74,1.5640
stage2,75,1.5981
stage2,76,2.0590
stage2,77,1.9237
stage2,78,2.8083
stage2,79,1.5879
stage2,80,1.7606
stage2,81,1.9300
stage2,82,2.7132
stage2,83,1.8858
stage2,84,1.6520
stage2,85,2.5031
stage2,86,2.4626
stage2,87,1.4586
stage2,88,1.5370
stage2,89,0.3882
stage2,90,2.1157
stage2,91,2.7662
stage2,92,2.4924
stage2,93,2.9551
stage2,94,1.4871
stage2,95,1.4623
stage2,96,2.5429
stage2,97,2.6288
stage2,98,1.2862
stage2,99,0.3484
stage2,100,2.3562
stage2,101,1.7214
stage2,102,2.3123
stage2,103,1.0996
stage2,104,2.3605
stage2,105,1.6162
stage2,106,2.4336
stage2,107,1.3712
stage2,108,2.0352
stage2,109,1.6399
stage2,110,2.2372
stage2,111,1.4703
stage2,112,1.9702
stage2,113,2.8663
stage2,114,3.3346
stage2,115,1.5772
stage2,116,1.4003
stage2,117,2.1856
stage2,118,2.4790
stage2,119,2.3238
stage2,120,1.0475
stage2,121,1.1660
stage2,122,2.8065
stage2,123,1.7251
stage2,124,2.0758
stage2,125,2.4437
stage2,126,2.9433
stage2,127,2.1297
stage2,128,2.0586
stage2,129,2.1106
stage2,130,2.0620
stage2,131,2.7876
stage2,132,2.3891
stage2,133,1.9002
stage2,134,1.3055
stage2,135,2.7874
stage2,136,3.0184
stage2,137,1.8751
stage2,138,1.2333
stage2,139,1.8818
stage2,140,2.9673
stage2,141,0.2709
stage2,142,1.7358
stage2,143,2.4456
stage2,144,1.2765
stage2,145,1.1286
stage2,146,2.6119
stage2,147,1.9579
stage2,148,1.8050
stage2,149,2.2272
stage2-frozen,0,3.7744
stage2-frozen,1,3.3975
stage2-frozen,2,3.0241
stage2-frozen,3,2.5887
stage2-frozen,4,3.0014
stage2-frozen,5,3.2741
stage2-frozen,6,2.4726
stage2-frozen,7,3.2942
stage2-frozen,8,2.4138
stage2-frozen,9,3.5497
stage2-frozen,10,2.4046
stage2-frozen,11,2.3359
stage2-frozen,12,3.0616
stage2-frozen,13,2.5556
stage2-frozen,14,2.3966
stage2-frozen,15,2.0603
stage2-frozen,16,2.0574
stage2-frozen,17,1.8607
stage2-frozen,18,2.6595
stage2-frozen,19,3.4966
stage2-frozen,20,3.2464
stage2-frozen,21,3.3637
stage2-frozen,22,2.3593
stage2-frozen,23,2.7686
stage2-frozen,24,2.8660
stage2-frozen,25,1.0294
stage2-frozen,26,2.2741
stage2-frozen,27,2.5083
stage2-frozen,28,3.4286
stage2-frozen,29,1.0815
stage2-frozen,30,2.0590
stage2-frozen,31,2.7278
stage2-frozen,32,3.0333
stage2-frozen,33,2.5515
stage2-frozen,34,2.1899
stage2-frozen,35,2.6133
stage2-frozen,36,2.3721
stage2-frozen,37,2.2661
stage2-frozen,38,2.8747
stage2-frozen,39,2.4812
stage2-frozen,40,1.9727
stage2-frozen,41,1.9950
stage2-frozen,42,1.1041
stage2-frozen,43,2.5068
stage2-frozen,44,1.7865
stage2-frozen,45,1.4255
stage2-frozen,46,2.8325
stage2-frozen,47,2.8741
stage2-frozen,48,0.5098
stage2-frozen,49,3.4639
stage2-frozen,50,3.1790
stage2-frozen,51,2.4686
stage2-frozen,52,2.5898
stage2-frozen,53,2.3202
stage2-frozen,54,3.1850
stage2-frozen,55,3.1083
stage2-frozen,56,2.4080
stage2-frozen,57,2.1604
stage2-frozen,58,3.1200
stage2-frozen,59,2.5225
stage2-frozen,60,1.6220
stage2-frozen,61,3.5490
stage2-frozen,62,2.9878
stage2-frozen,63,2.3638
stage2-frozen,64,3.5503
stage2-frozen,65,2.7139
stage2-frozen,66,2.9375
stage2-frozen,67,2.1245
stage2-frozen,68,0.8098
stage2-frozen,69,3.0567
stage2-frozen,70,1.8566
stage2-frozen,71,1.7258
stage2-frozen,72,1.8683
stage2-frozen,73,1.9518
stage2-frozen,74,1.8966
stage2-frozen,75,1.7410
stage2-frozen,76,2.5997
stage2-frozen,77,2.3485
stage2-frozen,78,3.2942
stage2-frozen,79,1.8669
stage2-frozen,80,2.6274
stage2-frozen,81,2.3362
stage2-frozen,82,2.8624
stage2-frozen,83,2.0727
stage2-frozen,84,1.8035
stage2-frozen,85,2.5829
stage2-frozen,86,2.8807
stage2-frozen,87,1.6745
stage2-frozen,88,2.0230
stage2-frozen,89,0.6105
stage2-frozen,90,2.3420
stage2-frozen,91,3.0258
stage2-frozen,92,2.8664
stage2-frozen,93,2.8370
stage2-frozen,94,1.8524
stage2-frozen,95,1.7892
stage2-frozen,96,2.7206
stage2-frozen,97,2.6953
stage2-frozen,98,1.6917
stage2-frozen,99,0.4938
stage2-frozen,100,3.1891
stage2-frozen,101,2.2217
stage2-frozen,102,2.5811
stage2-frozen,103,1.6226
stage2-frozen,104,3.0254
stage2-frozen,105,1.7352
stage2-frozen,106,2.5621
stage2-frozen,107,1.6161
stage2-frozen,108,2.3168
stage2-frozen,109,1.7717
stage2-frozen,110,2.3598
stage2-frozen,111,1.7281
stage2-frozen,112,2.2707
stage2-frozen,113,3.1217
stage2-frozen,114,3.6013
stage2-frozen,115,1.8153
stage2-frozen,116,1.8077
stage2-frozen,117,2.5603
stage2-frozen,118,2.6150
stage2-frozen,119,2.5110
stage2-frozen,120,1.4535
stage2-frozen,121,1.3027
stage2-frozen,122,2.9540
stage2-frozen,123,2.7129
stage2-frozen,124,2.6330
stage2-frozen,125,2.9199
stage2-frozen,126,3.1033
stage2-frozen,127,2.2775
stage2-frozen,128,2.2181
stage2-frozen,129,2.7162
stage2-frozen,130,2.3630
stage2-frozen,131,3.3554
stage2-frozen,132,3.0007
stage2-frozen,133,2.4946
stage2-frozen,134,1.8163
stage2-frozen,135,3.0692
stage2-frozen,136,3.2834
stage2-frozen,137,2.2814
stage2-frozen,138,2.2280
stage2-frozen,139,2.3196
stage2-frozen,140,3.0937
stage2-frozen,141,0.5700
stage2-frozen,142,2.2029
stage2-frozen,143,2.8010
stage2-frozen,144,1.4149
stage2-frozen,145,2.0409
stage2-frozen,146,3.1178
stage2-frozen,147,2.2987
stage2-frozen,148,1.7045
stage2-frozen,149,2.5351
blind,0,3.8626
blind,1,3.3175
blind,2,1.5336
blind,3,2.4633
blind,4,3.0103
blind,5,3.4054
blind,6,2.1846
blind,7,2.7449
blind,8,2.0490
blind,9,2.8264
blind,10,2.0226
blind,11,1.7835
blind,12,2.6802
blind,13,2.1242
blind,14,2.0399
blind,15,1.5468
blind,16,1.4620
blind,17,1.6016
blind,18,2.8357
blind,19,3.6176
blind,20,2.9052
blind,21,2.8756
blind,22,1.5604
blind,23,2.4773
blind,24,2.8461
blind,25,0.7281
blind,26,1.9045
blind,27,2.5310
blind,28,2.6332
blind,29,0.5954
blind,30,1.4650
blind,31,2.7130
blind,32,3.0429
blind,33,2.2161
blind,34,1.9790
blind,35,2.3350
blind,36,2.4325
blind,37,2.0891
blind,38,2.2430
blind,39,2.2258
blind,40,1.9217
blind,41,1.6712
blind,42,0.5583
blind,43,2.2501
blind,44,1.0538
blind,45,1.1938
blind,46,2.9124
blind,47,2.5596
blind,48,0.4985
blind,49,3.1015
blind,50,2.7130
blind,51,2.1625
blind,52,2.5333
blind,53,1.8923
blind,54,3.1787
blind,55,2.9520
blind,56,2.4769
blind,57,1.9435
blind,58,2.6258
blind,59,2.1482
blind,60,1.3285
blind,61,3.3186
blind,62,2.7725
blind,63,2.0851
blind,64,3.6156
blind,65,2.1247
blind,66,2.7783
blind,67,2.2646
blind,68,0.4911
blind,69,2.6605
blind,70,1.7386
blind,71,1.5720
blind,72,1.5457
blind,73,1.8862
blind,74,1.5539
blind,75,1.5555
blind,76,2.1195
blind,77,2.0419
blind,78,2.8394
blind,79,1.6553
blind,80,1.8439
blind,81,2.0956
blind,82,2.8713
blind,83,1.8625
blind,84,1.7201
blind,85,2.4636
blind,86,2.4924
blind,87,1.4610
blind,88,1.5503
blind,89,0.4016
blind,90,2.0423
blind,91,2.9054
blind,92,2.6668
blind,93,3.0253
blind,94,1.6455
blind,95,1.5728
blind,96,2.5874
blind,97,2.6886
