cond,step,loss
squash,100,1.3405
squash,200,0.9632
squash,300,0.7459
squash,400,0.7154
squash,500,0.5640
squash,600,0.4786
squash,700,0.3329
squash,800,0.2190
squash,900,0.1471
squash,1000,0.1223
crop,100,3.8491
crop,200,3.9187
crop,300,4.0412
crop,400,3.4913
crop,500,3.2001
crop,600,3.2619
crop,700,3.0847
crop,800,3.8858
crop,900,2.7883
crop,1000,2.8002
anyres,100,2.3106
anyres,200,2.0645
anyres,300,1.8010
anyres,400,1.8372
anyres,500,1.4850
anyres,600,1.2288
anyres,700,0.9394
anyres,800,0.8772
anyres,900,0.7790
anyres,1000,0.7596
anyres+thumb,100,2.2685
anyres+thumb,200,1.9316
anyres+thumb,300,1.2992
anyres+thumb,400,1.0476
anyres+thumb,500,0.7238
anyres+thumb,600,0.5998
anyres+thumb,700,0.4316
anyres+thumb,800,0.2900
anyres+thumb,900,0.2814
anyres+thumb,1000,0.1820
