arm,step,train_loss
linear,0,4.32772
linear,1,4.05760
linear,2,3.76779
linear,3,3.89685
linear,4,4.03604
linear,5,3.76143
linear,6,3.78734
linear,7,3.24247
linear,8,3.43673
linear,9,3.65286
linear,10,3.53437
linear,11,3.46428
linear,12,4.01560
linear,13,3.28212
linear,14,3.65787
linear,15,3.53199
linear,16,4.15942
linear,17,4.21368
linear,18,3.49535
linear,19,3.97668
linear,20,3.71643
linear,21,3.60347
linear,22,3.39787
linear,23,3.69712
linear,24,3.72402
linear,25,4.37656
linear,26,3.84226
linear,27,3.47260
linear,28,3.49717
linear,29,3.45127
linear,30,3.55452
linear,31,3.45950
linear,32,3.42195
linear,33,3.34895
linear,34,3.62335
linear,35,3.67486
linear,36,3.78505
linear,37,3.44867
linear,38,2.98706
linear,39,3.48437
linear,40,3.46800
linear,41,3.23893
linear,42,3.91295
linear,43,3.91652
linear,44,3.47448
linear,45,3.77955
linear,46,3.64258
linear,47,2.84740
linear,48,3.46173
linear,49,2.94070
linear,50,2.73937
linear,51,3.41989
linear,52,3.28985
linear,53,3.17602
linear,54,3.62693
linear,55,3.66205
linear,56,3.13352
linear,57,3.18939
linear,58,3.52354
linear,59,3.53195
linear,60,3.27108
linear,61,3.63029
linear,62,3.75896
linear,63,3.25446
linear,64,3.95404
linear,65,3.25888
linear,66,3.61700
linear,67,3.50363
linear,68,2.69281
linear,69,3.04421
linear,70,3.35178
linear,71,2.96074
linear,72,3.66510
linear,73,3.52265
linear,74,3.06612
linear,75,3.20339
linear,76,3.55076
linear,77,3.34651
linear,78,4.04073
linear,79,3.85840
linear,80,3.11507
linear,81,3.21523
linear,82,3.36244
linear,83,3.37255
linear,84,3.74403
linear,85,3.09424
linear,86,3.24955
linear,87,3.48174
linear,88,4.20307
linear,89,3.81883
linear,90,4.24877
linear,91,3.12268
linear,92,3.05676
linear,93,3.28653
linear,94,3.75518
linear,95,3.03742
linear,96,3.37638
linear,97,2.94043
linear,98,3.71901
linear,99,3.08859
linear,100,3.12350
linear,101,3.16496
linear,102,3.17672
linear,103,3.44615
linear,104,3.57883
linear,105,2.99436
linear,106,3.52926
linear,107,3.50353
linear,108,3.48969
linear,109,3.22030
linear,110,3.13765
linear,111,3.23687
linear,112,3.48114
linear,113,3.21287
linear,114,3.22909
linear,115,3.00864
linear,116,3.45675
linear,117,3.04119
linear,118,3.47918
linear,119,3.03774
linear,120,2.98236
linear,121,3.85774
linear,122,3.07763
linear,123,3.40964
linear,124,2.89667
linear,125,3.61665
linear,126,3.35669
linear,127,3.44549
linear,128,3.19021
linear,129,3.15721
linear,130,3.17431
linear,131,3.17143
linear,132,2.93254
linear,133,3.35037
linear,134,3.30098
linear,135,3.23651
linear,136,3.15471
linear,137,2.98377
linear,138,3.44174
linear,139,3.05868
linear,140,3.33308
linear,141,3.34634
linear,142,3.16349
linear,143,3.09315
linear,144,2.79234
linear,145,3.20220
linear,146,3.31383
linear,147,3.08811
linear,148,3.94410
linear,149,3.44512
linear,150,2.97653
linear,151,2.93476
linear,152,3.03274
linear,153,3.26620
linear,154,3.35529
linear,155,3.04649
linear,156,3.15355
linear,157,2.80156
linear,158,3.47513
linear,159,3.93211
linear,160,2.78501
linear,161,3.56247
linear,162,2.70401
linear,163,2.82835
linear,164,3.24776
linear,165,3.83765
linear,166,3.23294
linear,167,2.82588
linear,168,2.73429
linear,169,3.44340
linear,170,2.74130
linear,171,3.09380
linear,172,2.64234
linear,173,3.03749
linear,174,3.19955
linear,175,3.12170
linear,176,2.88194
linear,177,2.96655
linear,178,2.71080
linear,179,3.55903
linear,180,2.75796
linear,181,3.25215
linear,182,2.94320
linear,183,2.68738
linear,184,3.13495
linear,185,3.15263
linear,186,3.14909
linear,187,3.11110
linear,188,3.24420
linear,189,3.37196
linear,190,3.32992
linear,191,3.38902
linear,192,3.36786
linear,193,2.85994
linear,194,2.81646
linear,195,3.08191
linear,196,3.03257
linear,197,3.10988
linear,198,3.01886
linear,199,2.88146
linear,200,3.47904
linear,201,2.38293
linear,202,3.01000
linear,203,2.84111
linear,204,2.74654
linear,205,2.80797
linear,206,2.99924
linear,207,3.10697
linear,208,2.90806
linear,209,2.81632
linear,210,3.22455
linear,211,3.08577
linear,212,2.87080
linear,213,2.81369
linear,214,3.37538
linear,215,3.24044
linear,216,2.90160
linear,217,2.91862
linear,218,2.96665
linear,219,2.87131
linear,220,3.12143
linear,221,3.24880
linear,222,3.31637
linear,223,3.59962
linear,224,3.30497
linear,225,3.48284
linear,226,3.33079
linear,227,3.18226
linear,228,2.76338
linear,229,2.79239
linear,230,2.42961
linear,231,2.72053
linear,232,3.27700
linear,233,2.83668
linear,234,3.36669
linear,235,3.56624
linear,236,3.21505
linear,237,2.71278
linear,238,3.05248
linear,239,2.89053
linear,240,3.15319
linear,241,3.05349
linear,242,2.73270
linear,243,2.79332
linear,244,2.79363
linear,245,2.96681
linear,246,3.24432
linear,247,3.27405
linear,248,3.62489
linear,249,3.28388
mlp2,0,4.25088
mlp2,1,3.93534
mlp2,2,3.68536
mlp2,3,3.78731
mlp2,4,3.85785
mlp2,5,3.79033
mlp2,6,3.71235
mlp2,7,3.26101
mlp2,8,3.40756
mlp2,9,3.57314
mlp2,10,3.52630
mlp2,11,3.27538
mlp2,12,3.83229
mlp2,13,3.26072
mlp2,14,3.56873
mlp2,15,3.41432
mlp2,16,4.02876
mlp2,17,4.14717
mlp2,18,3.26079
mlp2,19,3.78283
mlp2,20,3.69687
mlp2,21,3.47133
mlp2,22,3.25347
mlp2,23,3.46950
mlp2,24,3.50963
mlp2,25,4.00506
mlp2,26,3.36108
mlp2,27,3.09357
mlp2,28,3.17132
mlp2,29,3.22432
mlp2,30,3.30581
mlp2,31,3.02972
