view,shape,stride,offset,checks,mismatches
base,"(4, 5, 6)","(30, 6, 1)",0,120,0
"base.transpose(0, 2)","(6, 5, 4)","(1, 6, 30)",0,120,0
"base.permute(2, 0, 1)","(6, 4, 5)","(1, 30, 6)",0,120,0
"base[1:3, ::2, 2:]","(2, 3, 4)","(30, 12, 1)",32,24,0
"base[:, :, ::3]","(4, 5, 2)","(30, 6, 3)",0,40,0
base[2],"(5, 6)","(6, 1)",60,30,0
img,"(2, 3, 4, 4)","(48, 16, 4, 1)",0,96,0
"img.permute(0, 2, 3, 1)","(2, 4, 4, 3)","(48, 4, 1, 16)",0,96,0
img.to(channels_last),"(2, 3, 4, 4)","(48, 1, 12, 3)",0,96,0
"base[:, :1].expand(4, 5, 6)","(4, 5, 6)","(30, 0, 1)",0,120,0
