finding,value
forward_abs_diff,0.000e+00
expr_max_grad_diff,2.776e-17
expr_graph_nodes,14
torch_grad_fn_head,NegBackward0
shared_node_true_grad,3.0
shared_node_topo_grad,3.0
shared_node_bfs_grad,1.0
accum_after_3_backwards,36.0
torch_accum_after_3_backwards,36.0
torch_graph_nodes_per_forward,18
mlp_steps,120
mlp_final_loss_ours,0.163496901165
mlp_final_loss_torch,0.163496901165
mlp_max_loss_diff,5.551e-16
mlp_max_param_diff,6.661e-16
mlp_train_accuracy,0.95
mlp_seconds_ours,23.104
mlp_seconds_torch,0.047
mlp_speedup_torch,489.6
mlp_value_nodes_per_forward,15784
scalar_sum_n,20000
scalar_graph_nodes,60001
scalar_ms_ours,455.5
scalar_ms_torch,0.127
scalar_slowdown,3589.7
scalar_grad_match,True
recursive_topo_result,RecursionError
