finding,value
relu_forward_diff,0.000e+00
relu_backward_diff,0.000e+00
sigmoid_forward_diff,0.000e+00
sigmoid_backward_diff,1.110e-16
gradcheck_relu_float64,True
gradcheck_sigmoid_float64,True
gradcheck_sigmoid_float32,FAILED
fd_noise_float32,4.595e-04
fd_noise_float64,2.623e-12
gradcheck_no_chain_rule,caught by gradcheck
no_chain_rule_hidden_by_sum,True
no_chain_rule_diff_random_upstream,2.9976
gradcheck_wrong_at_zero,passed
swish_eager_saved_mb,8.0
swish_fused_saved_mb,8.0
swish_eager_saved_tensors,2
swish_fused_saved_tensors,2
swish_recompute_saved_mb,4.0
gelu_eager_saved_mb,24.0
gelu_fused_saved_mb,4.0
gelu_saved_tensor_ratio,6.0
swish_eager_ms,15.08
swish_eager_grad_diff,0.000e+00
swish_fused_ms,16.59
swish_fused_grad_diff,4.768e-07
swish_recompute_ms,19.45
swish_recompute_grad_diff,4.768e-07
gelu_eager_ms,35.91
gelu_eager_grad_diff,0.000e+00
gelu_fused_ms,51.9
gelu_fused_grad_diff,7.600e-07
save_for_backward_after_inplace,RuntimeError
ctx_stash_after_inplace_grad,60.0
