finding,value
round_grad_norm,0.0
ste_grad_norm,3.0
oneliner_matches_function,True
round_fd_grad,0.0
round_ste_grad,1.0
round_fd_at_step,250000
soft_round_mean_slope_T1,0.2449
soft_round_mean_slope_T002,1.0057
soft_round_peak_slope_T002,12.5
fp32_test_acc,1.0
ptq_1bit_acc,0.36
qat_1bit_acc,0.9833
ptq_2bit_acc,0.36
qat_2bit_acc,1.0
ptq_3bit_acc,0.4933
qat_3bit_acc,1.0
ptq_4bit_acc,0.92
qat_4bit_acc,1.0
ptq_6bit_acc,1.0
qat_6bit_acc,1.0
no_ste_max_weight_grad_norm,0.0
no_ste_nonzero_weight_grads,0
no_ste_test_acc,0.64
no_ste_first_loss,1.086
no_ste_last_loss,1.0188
leak_max_weight_grad_norm,4.7959
leak_nonzero_weight_grads,6
leak_test_acc,0.5467
sign_plain_acc_mean,0.9889
sign_plain_acc_seeds,0.9967;0.9900;0.9800
sign_plain_peak_preact,5.073
sign_plain_frac_outside,0.2062
sign_clipped_acc_mean,0.9889
sign_clipped_acc_seeds,0.9867;0.9933;0.9867
sign_clipped_peak_preact,5.59
sign_clipped_frac_outside,0.2452
sign_gap,0.0
sign_seed_spread,0.0167
