finding,value
baseline_activation_mb,50.86
baseline_activation_tensors,97
baseline_param_saves,48
param_mb,50.43
activation_mb_each,0.524
ours_vs_plain_maxdiff,0.000e+00
torch_vs_plain_maxdiff,0.000e+00
time_ratio_min,1.14
time_ratio_median,1.29
time_ratio_max,1.58
best_segments,8
best_peak_mb,10.49
best_time_ratio,1.213
baseline_peak_mb,50.86
baseline_seconds,0.0923
seg0_held_mb,50.86
seg0_peak_mb,50.86
seg0_seconds,0.0923
seg1_held_mb,1.05
seg1_peak_mb,50.86
seg1_seconds,0.1161
seg2_held_mb,1.57
seg2_peak_mb,26.21
seg2_seconds,0.1282
seg3_held_mb,2.1
seg3_peak_mb,18.35
seg3_seconds,0.1193
seg4_held_mb,2.62
seg4_peak_mb,14.68
seg4_seconds,0.1104
seg6_held_mb,3.67
seg6_peak_mb,11.53
seg6_seconds,0.105
seg8_held_mb,4.72
seg8_peak_mb,10.49
seg8_seconds,0.112
seg12_held_mb,6.82
seg12_peak_mb,10.49
seg12_seconds,0.1098
seg16_held_mb,8.91
seg16_peak_mb,11.53
seg16_seconds,0.146
seg24_held_mb,13.11
seg24_peak_mb,14.68
seg24_seconds,0.1376
seg48_held_mb,25.69
seg48_peak_mb,26.21
seg48_seconds,0.1326
dropout_ours_no_RNG_handling_maxdiff,1.394e-02
dropout_ours_no_RNG_handling_cosine,0.9992
dropout_ours_RNG_restored_maxdiff,0.000e+00
dropout_ours_RNG_restored_cosine,1.0
dropout_torch_preserve_rng_stateTrue_maxdiff,0.000e+00
dropout_torch_preserve_rng_stateTrue_cosine,1.0
dropout_torch_preserve_rng_stateFalse_maxdiff,1.394e-02
dropout_torch_preserve_rng_stateFalse_cosine,0.9992
reentrant_ours_params_passed_in_grad_norm,0.00016
reentrant_ours_params_passed_in_params_without_grad,0
reentrant_ours_naive_(params_not_passed_in)_grad_norm,0.0
reentrant_ours_naive_(params_not_passed_in)_params_without_grad,16
reentrant_torch_use_reentrantFalse_grad_norm,0.00016
reentrant_torch_use_reentrantFalse_params_without_grad,0
reentrant_torch_use_reentrantTrue_grad_norm,0.0
reentrant_torch_use_reentrantTrue_params_without_grad,16
reentrant_torch_use_reentrantTrue_input.requires_grad_()_grad_norm,0.00016
reentrant_torch_use_reentrantTrue_input.requires_grad_()_params_without_grad,0
