key,value
named_children,10
named_modules,68
leaf_modules,52
max_depth,4
total_params,11689512
params_Conv2d,11166912
params_BatchNorm2d,9600
params_Linear,513000
fc_params,513000
n_param_tensors,62
n_buffer_tensors,60
n_state_dict_keys,122
buffer_elements,9620
bn_running_mean_moved_train,0.01072996947914362
bn_running_mean_moved_eval,0.0
broken_params,0
fixed_params,816
leaf_calls_total,60
modules_called_twice,8
tied_parameters_sum,64000
tied_state_dict_sum,128000
probe_trainable,513000
full_finetune_mb,187.032192
probe_mb,52.914048
