-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        76.91%        8.739s        96.83%       11.003s        1.375s             8  
                                           aten::select         3.95%     448.403ms         5.02%     570.986ms       2.904us        196608  
                                              aten::div         3.93%     446.793ms         9.18%        1.043s      10.606us         98312  
                                            aten::copy_         3.19%     362.869ms         3.19%     362.869ms       1.845us        196712  
                                         aten::_to_copy         3.19%     362.501ms         6.45%     733.359ms       4.971us        147528  
                                              aten::sub         1.97%     223.911ms         4.38%     498.044ms      10.133us         49152  
                                    aten::empty_strided         1.38%     156.992ms         1.38%     156.992ms       1.064us        147544  
                                               aten::to         1.21%     137.804ms         7.67%     871.164ms       5.894us        147800  
                             aten::convolution_backward         1.10%     125.182ms         1.24%     140.842ms       5.868ms            24  
                                       aten::as_strided         1.09%     123.866ms         1.09%     123.866ms       0.629us        196928  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.364s
