-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        33.06%     668.112ms        33.07%     668.250ms       3.819ms     352.81 MB     352.81 MB           175  
                                            aten::addmm        15.33%     309.673ms        19.88%     401.626ms       5.020ms     360.00 MB     360.00 MB            80  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...         5.04%     101.750ms         6.28%     126.998ms       6.350ms     120.00 MB      -3.75 MB            20  
                                            aten::copy_         4.62%      93.455ms         4.62%      93.455ms      66.516us           0 B           0 B          1405  
                                              aten::sum         4.01%      81.064ms         4.03%      81.465ms     958.417us     820.00 KB     820.00 KB            85  
                                              aten::cat         3.69%      74.487ms         3.70%      74.696ms       3.735ms     120.00 MB     120.00 MB            20  
                       aten::native_layer_norm_backward         3.59%      72.455ms         3.62%      73.098ms       1.624ms      90.09 MB    -396.00 KB            45  
      aten::_scaled_dot_product_flash_attention_for_cpu         2.87%      57.945ms         2.92%      58.948ms       2.947ms      40.62 MB      -2.84 MB            20  
                                             aten::sqrt         2.86%      57.741ms         2.86%      57.741ms     217.890us      61.51 MB      61.51 MB           265  
                                    aten::gelu_backward         2.83%      57.245ms         2.83%      57.245ms       2.862ms     160.00 MB     160.00 MB            20  
                                             aten::add_         2.72%      54.955ms         2.89%      58.365ms     102.394us          20 B      -2.05 KB           570  
                                             aten::mul_         2.66%      53.677ms         2.82%      57.056ms     107.653us          12 B      -2.06 KB           530  
                                             aten::gelu         2.24%      45.249ms         2.24%      45.249ms       2.262ms     160.00 MB     160.00 MB            20  
                                              aten::add         2.10%      42.487ms         2.10%      42.487ms     944.163us      90.00 MB      90.00 MB            45  
                                         aten::addcmul_         1.53%      30.852ms         1.53%      30.852ms     116.423us           0 B           0 B           265  
                                            aten::lerp_         1.48%      29.830ms         1.48%      29.830ms     112.565us           0 B           0 B           265  
                                aten::native_layer_norm         1.32%      26.658ms         1.35%      27.293ms     606.502us      90.70 MB           0 B            45  
                                            aten::fill_         1.22%      24.661ms         1.22%      24.661ms     154.130us           0 B           0 B           160  
                                              aten::div         1.05%      21.220ms         1.15%      23.319ms      87.995us      61.51 MB      61.51 MB           265  
                                         aten::addcdiv_         0.80%      16.140ms         0.80%      16.140ms      60.906us           0 B           0 B           265  
                              Optimizer.step#AdamW.step         0.80%      16.065ms        12.76%     257.810ms      51.562ms           0 B    -123.03 MB             5  
                                             ## forward         0.75%      15.128ms        29.99%     605.967ms     121.193ms     666.33 MB     -90.62 MB             5  
    autograd::engine::evaluate_function: AddmmBackward0         0.56%      11.390ms        37.55%     758.762ms       9.485ms    -179.82 MB    -520.00 MB            80  
                                            ## backward         0.49%       9.986ms        57.20%        1.156s     231.163ms    -602.32 MB         -20 B             5  
                                     aten::index_select         0.32%       6.566ms         0.33%       6.686ms     668.588us      10.62 MB      10.62 MB            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.021s
