section,name,value,note
timing,fp32 fwd+bwd (ms),28.9,spread 4.7
timing,autocast bf16 fwd+bwd (ms),1681.7,spread 148.9
timing,autocast bf16 speedup,0.02x,below 1.0 means slower
timing,autocast fp16 fwd+bwd (ms),2795.4,spread 437.3
timing,autocast fp16 speedup,0.01x,below 1.0 means slower
timing,model.bfloat16() fwd+bwd (ms),1749.4,0.02x vs fp32 — no autocast involved
matmul,1024^3 matmul fp32 (ms),6.3,338.7 GFLOP/s
matmul,1024^3 matmul bf16 (ms),2002.0,1.1 GFLOP/s
matmul,1024^3 matmul fp16 (ms),2474.9,0.9 GFLOP/s
policy,Embedding output dtype,float32,kept in fp32
policy,LayerNorm output dtype,float32,kept in fp32
policy,Linear output dtype,bfloat16,cast to 16-bit
policy,Block output dtype,float32,kept in fp32
policy,TinyGPT output dtype,bfloat16,cast to 16-bit
policy,logits dtype,bfloat16,
policy,cross_entropy loss dtype,float32,reductions stay fp32
policy,matmul (fp32 inputs),bfloat16,16-bit list
policy,softmax (fp32 input),float32,fp32 list / follows input
policy,log (fp32 input),float32,fp32 list / follows input
policy,layer_norm (fp32 input),float32,fp32 list / follows input
policy,gelu (fp32 input),float32,fp32 list / follows input
policy,parameter dtype,float32,master weights are never cast
memory,saved activations fp32,132.80 MB,
memory,saved activations bf16,81.83 MB,
memory,bf16 / fp32,0.62x,half would be 0.50
range,fp16 largest finite,65504,
range,bf16 largest finite,3.390e+38,
range,fp32 largest finite,3.403e+38,
range,fp16 smallest normal,6.104e-05,
range,bf16 smallest normal,1.175e-38,
range,fp16 eps (gap next to 1.0),9.766e-04,= 2^-10 → 10 mantissa bits
range,bf16 eps (gap next to 1.0),7.812e-03,= 2^-7 → 7 mantissa bits
range,fp32 eps (gap next to 1.0),1.192e-07,= 2^-23 → 23 mantissa bits
range,300x300 accumulated in fp16,inf,true value 90000
range,same in bf16,finite,
underflow,gradient elements,3225088,
underflow,median |grad|,1.511e-08,
underflow,flushed to zero in fp16,67.58 %,2179534 of 3225088
underflow,flushed to zero in bf16,0.00 %,0 of 3225088
underflow,fp16 zeros at scale 2^0,67.58 %,
underflow,fp16 zeros at scale 2^8,0.71 %,
underflow,fp16 zeros at scale 2^12,0.07 %,
underflow,fp16 zeros at scale 2^16,0.03 %,
scaler,initial scale,65536,
scaler,scale after 8 clean steps,131072,growth_interval=8 → doubles
scaler,scale at the overflow step,262144,
scaler,scale after the overflow,131072,halved
scaler,weight change on that step,0.0e+00,step skipped
scaler,skipped steps,[20],
accuracy,fp32 final loss (mean last 20),0.768296,11 s
accuracy,bf16 final loss (mean last 20),0.768282,15 s
accuracy,fp16 final loss (mean last 20),0.768298,13 s
accuracy,bf16 - fp32 (final),-0.000014,
accuracy,bf16 largest single-step gap,0.0002,at step 35 — the curves do differ
accuracy,fp16 - fp32 (final),+0.000002,
accuracy,fp16 largest single-step gap,0.0001,at step 4 — the curves do differ
