section,name,value,note
manual,max |w(manual all-reduce) - w(DDP)| after 25 steps,0.000e+00,
manual,max |grad(manual) - grad(DDP)| at the last step,0.000e+00,
manual,final loss  DDP / manual,1.6199 / 1.6199,
manual,"max |w(rank0) - w(rank1)| , manual all-reduce",0.000e+00,
bugs,forgot / world: max |w - w(DDP)|,9.433e-02,gradients are 2x too large = a silently doubled learning rate
bugs,forgot / world: final loss vs DDP,1.1252 vs 1.6199,
bugs,forgot the initial broadcast: max |w(rank0) - w(rank1)|,2.491e-01,"identical gradients, different starting points -> ranks never agree"
bugs,forgot the initial broadcast: final loss rank0 / rank1,1.8560 / 1.8397,
ring,world=2: max error vs dist.all_reduce,0.000e+00,
ring,"world=2: bytes sent per rank, ring",4.0 MB  = 2*(N-1)/N * D = 1.00 D,
ring,"world=2: bytes through the root, gather+broadcast",8.0 MB,
ring,world=2: our python ring / built-in all_reduce,6.6 ms / 2.6 ms   (2.5x slower),
ring,world=4: max error vs dist.all_reduce,9.537e-07,
ring,"world=4: bytes sent per rank, ring",6.0 MB  = 2*(N-1)/N * D = 1.50 D,
ring,"world=4: bytes through the root, gather+broadcast",24.0 MB,
ring,world=4: our python ring / built-in all_reduce,12.7 ms / 7.4 ms   (1.7x slower),
bucket,   1 tensors: one-by-one / bucketed,   2.45 ms /   3.86 ms   (0.64x),
bucket,   8 tensors: one-by-one / bucketed,   3.48 ms /   4.36 ms   (0.80x),
bucket,  64 tensors: one-by-one / bucketed,  29.05 ms /   5.16 ms   (5.62x),
bucket, 512 tensors: one-by-one / bucketed, 127.28 ms /   7.10 ms   (17.93x),
overlap,model,"1,597,704 params in 52 tensors",
overlap,all-reduce AFTER backward (8 steps),223 ms,
overlap,all-reduce DURING backward (hooks),171 ms   (1.31x),
overlap,"real DDP (buckets + overlap, C++)",135 ms   (1.65x),
overlap,DDP reports bucket_cap_bytes,26214400,
overlap,DDP reports avg_backward_compute_time,7.1 ms,
overlap,DDP reports avg_backward_comm_time,11.2 ms,
overlap,DDP reports avg_backward_compute_comm_overlap_time,4.9 ms,
nosync,"all_reduce calls, syncing every micro-batch",96,
nosync,"all_reduce calls, syncing once per optimiser step",24,
nosync,max |w(sync every) - w(sync once)|,0.000e+00,averaging then summing == summing then averaging
