section,name,value
1,repository file,model_repository/small_cnn/config.pbtxt  (0 KB)
1,repository file,model_repository/small_cnn/2/model.onnx  (588 KB)
1,repository file,model_repository/small_cnn/1/model.onnx  (588 KB)
1,declared input shape (config dims),"[3, 32, 32]"
1,shape the server advertises,"[-1, 3, 32, 32]"
1,versions found on disk,"[1, 2]"
2,GET /v2/health/ready,200
2,GET /v2/models/small_cnn,"{""name"": ""small_cnn"", ""versions"": [""2""], ""platform"": ""onnxruntime_onnx"", ""inputs"": [{""name"": ""x"", ""datatype"": ""FP32"", ""shape"": [-1, 3, 32, 32]}], ""outputs"": [{""name"": ""logits"", ""datatype"": ""FP32"", ""shape"": [-1, 10]}]}"
2,GET /v2/models/nope,404
2,max |served - local PyTorch|,3.338e-06
2,accuracy of the served model,0.6758
3,"in-process PyTorch, batch 1 (ms)",0.924
3,"server-side compute, mean (ms)",1.287
3,"end-to-end over HTTP, binary p50 (ms)",2.786
3,  of which is not compute,1.500 ms (54%)
3,"the same server with Nagle's algorithm left on, p50 (ms)",44.018
3,  what one TCP option costs,+41.2 ms per request
4,request body: JSON / binary (bytes),64083 / 12468   (5.1x)
4,latency p50: JSON / binary (ms),6.583 / 2.786
4,latency p99: JSON / binary (ms),9.965 / 3.338
5,in-process compute at batch  1,  0.233 ms  =   233.0 us/image
5,in-process compute at batch  4,  0.738 ms  =   184.6 us/image
5,in-process compute at batch  8,  1.559 ms  =   194.9 us/image
5,in-process compute at batch 32,  6.227 ms  =   194.6 us/image
5,so batching 32 could cut compute per image by,1.20x
5,"batching off (max_batch_size=1),  1 clients", 1123.7 req/s  p50   0.69 ms  p99   1.96 ms  mean batch 1.00  compute    299 us/image
5,"batching off (max_batch_size=1),  4 clients", 1790.4 req/s  p50   1.82 ms  p99   6.73 ms  mean batch 1.00  compute    319 us/image
5,"batching off (max_batch_size=1), 16 clients", 1143.1 req/s  p50   7.18 ms  p99  44.62 ms  mean batch 1.00  compute    550 us/image
5,"batching on  (max_batch_size=32),  1 clients",  321.3 req/s  p50   2.86 ms  p99   5.73 ms  mean batch 1.00  compute    280 us/image
5,"batching on  (max_batch_size=32),  4 clients",  998.3 req/s  p50   3.81 ms  p99   8.35 ms  mean batch 2.48  compute    195 us/image
5,"batching on  (max_batch_size=32), 16 clients", 1895.3 req/s  p50   7.63 ms  p99  17.23 ms  mean batch 5.50  compute    187 us/image
6,max_queue_delay =     0 us,  962.8 req/s  p50  14.60 ms  p99  30.41 ms  mean batch  1.00  queued 12.48 ms  compute   669 us/image
6,max_queue_delay =   500 us, 2650.9 req/s  p50   4.98 ms  p99  14.33 ms  mean batch  6.55  queued 1.49 ms  compute   190 us/image
6,max_queue_delay =  2000 us, 2018.1 req/s  p50   7.41 ms  p99  15.25 ms  mean batch  9.06  queued 2.20 ms  compute   174 us/image
6,max_queue_delay = 10000 us,  711.8 req/s  p50  21.15 ms  p99  40.13 ms  mean batch 15.25  queued 8.17 ms  compute   429 us/image
6,version 1 vs version 2 outputs agree,0.000e+00
6,unversioned request is served by,2
