section,name,value
1. the build you already have,built with,GCC 13.3
1. the build you already have,built with,C++ Version: 201703
1. the build you already have,built with,OpenMP 201511 (a.k.a. OpenMP 4.5)
1. the build you already have,built with,CPU capability usage: AVX2
1. the build you already have,torch version,2.10.0+cu128
1. the build you already have,commit the wheel was built from,449b17684101
1. the build you already have,library libtorch_cuda.so (MB),1043.84
1. the build you already have,library libtorch_cpu.so (MB),448.177
1. the build you already have,library libtorch_cuda_linalg.so (MB),127.515
1. the build you already have,library libtorch_python.so (MB),32.5149
1. the build you already have,library libtorch_nvshmem.so (MB),9.82844
1. the build you already have,library libc10.so (MB),1.49036
1. the build you already have,total shared libraries (MB),1664.64
1. the build you already have,libtorch_cpu.so: exported symbols,77791
1. the build you already have,libc10.so: exported symbols,1136
1. the build you already have,python files in the wheel,2113
1. the build you already have,C++ headers in the wheel,9378
2. running the code generator,torchgen exit code,0
2. running the code generator,torchgen wall time (s),15.9184
2. running the code generator,files generated,7113
2. running the code generator,bytes generated (MB),64.7604
2. running the code generator,"of those, .h",7035
2. running the code generator,"of those, .cpp",76
2. running the code generator,generated per second,446.84
2. running the code generator,real translation units generated,49
2. running the code generator,lines of C++ in them,434139
2. running the code generator,add_native.h: lines we generated,43
2. running the code generator,add_native.h: lines in the wheel,48
2. running the code generator,add_native.h: lines that match,43
3. finding project 53's file,dispatcher says the CPU kernel is at,/pytorch/build/aten/src/ATen/RegisterCPU_0.cpp:1309
3. finding project 53's file,RegisterCPU_0.cpp: lines we generated,10338
3. finding project 53's file,  our line 1310,"m.impl(""add.Tensor"", TORCH_FN(wrapper_CPU_add_Tensor));"
3. finding project 53's file,line number reported by the running library,1309
3. finding project 53's file,difference (lines),1
3. finding project 53's file,UfuncCPUKernel_add.cpp lines,207
3. finding project 53's file,mentions cpu_kernel_vec (vectorised path),True
3. finding project 53's file,dtype cases generated (AT_DISPATCH_CASE),13
4. the header tax,c10/core/TensorImpl.h      preprocessed lines,105194
4. the header tax,c10/core/TensorImpl.h      header files pulled in,114
