arm,iter,rm_reward,kl,greedy_accuracy
rm,0,2.2142,0.00000,0.3600
rm,1,2.1916,0.02354,0.3350
rm,2,2.1787,0.00509,0.3450
rm,3,2.1906,0.01637,0.3250
rm,4,2.2137,0.01974,0.3250
rm,5,2.2203,0.02195,0.3175
rm,6,2.2269,0.01903,0.3200
rm,7,2.2262,0.01545,0.3125
rm,8,2.2380,0.03999,0.2925
rm,9,2.2389,0.05241,0.3000
rm,10,2.2668,0.03631,0.2925
rm,11,2.2649,0.03509,0.3000
rm,12,2.2437,0.02072,0.3175
rm,13,2.2451,0.01985,0.3750
rm,14,2.2323,0.01664,0.3900
rm,15,2.2095,0.03936,0.4000
rm,16,2.2166,0.02804,0.3675
rm,17,2.2250,0.05187,0.3425
rm,18,2.2261,0.02076,0.3125
rm,19,2.2643,0.03795,0.2900
rm,20,2.2749,0.04115,0.2875
rm,21,2.2675,0.03737,0.2725
rm,22,2.2722,0.03512,0.2725
rm,23,2.2417,0.05603,0.2875
rm,24,2.2428,0.08086,0.2900
rm,25,2.2378,0.03586,0.2975
verifier,0,2.2142,0.00000,0.3600
verifier,1,2.1876,0.01863,0.4325
verifier,2,2.1815,0.01384,0.4850
verifier,3,2.1537,0.03671,0.4575
verifier,4,2.1406,0.10242,0.4350
verifier,5,2.1452,0.09020,0.4750
verifier,6,2.1607,0.10825,0.4775
verifier,7,2.1755,0.06545,0.4825
verifier,8,2.1870,0.08782,0.4825
verifier,9,2.2266,0.07252,0.4950
verifier,10,2.2294,0.06016,0.5025
verifier,11,2.1999,0.11920,0.5275
verifier,12,2.2098,0.10459,0.5375
verifier,13,2.2023,0.08087,0.4800
verifier,14,2.1987,0.09757,0.5100
verifier,15,2.1913,0.10910,0.5375
verifier,16,2.1945,0.17400,0.5300
verifier,17,2.1965,0.10804,0.5350
verifier,18,2.2276,0.13165,0.5400
verifier,19,2.2284,0.11946,0.5075
verifier,20,2.2283,0.10083,0.5400
verifier,21,2.2290,0.08164,0.5525
verifier,22,2.2323,0.04918,0.5475
verifier,23,2.2331,0.09117,0.5675
verifier,24,2.2305,0.07141,0.5800
verifier,25,2.2398,0.10664,0.5825
