arm,step,greedy_accuracy,logp_chosen,logp_rejected
random,0,0.3600,nan,nan
random,20,0.3825,-1.2884,-21.9609
random,40,0.5225,-1.2626,-25.0596
random,60,0.4900,-1.3840,-25.9802
random,80,0.5450,-1.0938,-27.3863
random,100,0.4225,-1.2587,-26.6679
random,120,0.5625,-1.1757,-28.9758
random,140,0.4575,-1.2299,-28.6434
nearmiss,0,0.3600,nan,nan
nearmiss,20,0.3375,-1.7872,-2.5710
nearmiss,40,0.2175,-2.2943,-3.4357
nearmiss,60,0.2475,-1.9313,-3.5538
nearmiss,80,0.2750,-2.5747,-4.2380
nearmiss,100,0.1525,-3.8854,-4.8854
nearmiss,120,0.1625,-2.8064,-4.3293
nearmiss,140,0.2575,-2.2852,-5.4624
