arm,iter,rm_reward,kl,greedy_accuracy
leash,0,2.2142,0.00000,0.3600
leash,1,2.1916,0.02354,0.3350
leash,2,2.1787,0.00509,0.3450
leash,3,2.1906,0.01637,0.3250
leash,4,2.2137,0.01974,0.3250
leash,5,2.2203,0.02195,0.3175
leash,6,2.2269,0.01903,0.3200
leash,7,2.2262,0.01545,0.3125
leash,8,2.2380,0.03999,0.2925
leash,9,2.2389,0.05241,0.3000
leash,10,2.2668,0.03631,0.2925
leash,11,2.2649,0.03509,0.3000
leash,12,2.2437,0.02072,0.3175
leash,13,2.2451,0.01985,0.3750
leash,14,2.2323,0.01664,0.3900
leash,15,2.2095,0.03936,0.4000
leash,16,2.2166,0.02804,0.3675
leash,17,2.2250,0.05187,0.3425
leash,18,2.2261,0.02076,0.3125
leash,19,2.2643,0.03795,0.2900
leash,20,2.2749,0.04115,0.2875
leash,21,2.2675,0.03737,0.2725
leash,22,2.2722,0.03512,0.2725
leash,23,2.2417,0.05603,0.2875
leash,24,2.2428,0.08086,0.2900
leash,25,2.2378,0.03586,0.2975
leash,26,2.2387,0.02659,0.3150
leash,27,2.2270,0.04334,0.3450
leash,28,2.2056,0.03290,0.3525
leash,29,2.2089,0.02319,0.3775
leash,30,2.2052,0.05810,0.3750
leash,31,2.2090,0.02145,0.3750
leash,32,2.2055,0.06373,0.3875
leash,33,2.2030,0.02346,0.3950
leash,34,2.2224,0.01908,0.3950
leash,35,2.2229,0.02653,0.4050
leash,36,2.2197,0.01794,0.4025
leash,37,2.2021,0.03141,0.4275
leash,38,2.1917,0.03394,0.3925
leash,39,2.2235,0.05283,0.3475
leash,40,2.2058,0.06312,0.3275
no_leash,0,2.2142,0.00000,0.3600
no_leash,1,2.1893,0.02354,0.3325
no_leash,2,2.1772,0.00812,0.3325
no_leash,3,2.2101,0.02701,0.2800
no_leash,4,2.2169,0.08534,0.2325
no_leash,5,2.2221,0.07300,0.2200
no_leash,6,2.2009,0.14513,0.2125
no_leash,7,2.1952,0.08986,0.2225
no_leash,8,2.1892,0.17874,0.2175
no_leash,9,2.1887,0.26960,0.2100
no_leash,10,2.2206,0.24709,0.1825
no_leash,11,2.2007,0.24503,0.1850
no_leash,12,2.2174,0.32933,0.1675
no_leash,13,2.2669,0.23222,0.1800
no_leash,14,2.2677,0.40766,0.1675
no_leash,15,2.2625,0.39837,0.1775
no_leash,16,2.2590,0.42704,0.1750
no_leash,17,2.2597,0.52925,0.1700
no_leash,18,2.2673,0.42600,0.1750
no_leash,19,2.2725,0.38735,0.1700
no_leash,20,2.2692,0.42359,0.1600
no_leash,21,2.2740,0.64698,0.1475
no_leash,22,2.2778,0.92662,0.1250
no_leash,23,2.2812,0.90324,0.1125
no_leash,24,2.2896,0.71903,0.1175
no_leash,25,2.2792,0.83264,0.1100
no_leash,26,2.2738,1.09641,0.1150
no_leash,27,2.2904,1.16056,0.1200
no_leash,28,2.2956,1.03283,0.1275
no_leash,29,2.3001,0.87570,0.1300
no_leash,30,2.3039,0.87213,0.1400
no_leash,31,2.2959,0.71629,0.1450
no_leash,32,2.2864,0.76936,0.1450
no_leash,33,2.3080,0.71433,0.1525
no_leash,34,2.2946,0.66467,0.1600
no_leash,35,2.2980,0.64442,0.1525
no_leash,36,2.2941,0.54324,0.1550
no_leash,37,2.2894,0.59615,0.1650
no_leash,38,2.2928,0.69076,0.1575
no_leash,39,2.2975,0.68786,0.1525
no_leash,40,2.2823,0.50980,0.1425
