section,quantity,value,unit
1-verify,arm2: worst |tau_rnea - tau_mujoco|,5.329070518200751e-15,N*m
1-verify,arm2: worst |M_mine - M_mujoco|,4.440892098500626e-16,kg*m^2
1-verify,arm2: worst |g_mine - g_mujoco|,3.552713678800501e-15,N*m
1-verify,arm6: worst |tau_rnea - tau_mujoco|,4.263256414560601e-14,N*m
1-verify,arm6: worst |M_mine - M_mujoco|,3.9968028886505635e-15,kg*m^2
1-verify,arm6: worst |g_mine - g_mujoco|,3.552713678800501e-14,N*m
1-verify,arm7: worst |tau_rnea - tau_mujoco|,2.842170943040401e-14,N*m
1-verify,arm7: worst |M_mine - M_mujoco|,3.1086244689504383e-15,kg*m^2
1-verify,arm7: worst |g_mine - g_mujoco|,2.1316282072803006e-14,N*m
1-verify,testarm: worst |tau_rnea - tau_mujoco|,2.842170943040401e-14,N*m
1-verify,testarm: worst |M_mine - M_mujoco|,5.773159728050814e-15,kg*m^2
1-verify,testarm: worst |g_mine - g_mujoco|,8.881784197001252e-15,N*m
1-verify,arm7 at q=0 with limit constraints LEFT ON,430.038476726103,N*m
2-mass,worst |M - M^T| before symmetrising,4.440892098500626e-16,kg*m^2
2-mass,smallest eigenvalue of M over 300 configs,0.0008686557839717793,kg*m^2
2-mass,median condition number of M,2725.0477522359115,
2-mass,worst condition number of M,5249.125221548457,
2-mass,"M[0,0] arm straight up (shoulder pan)",0.031100000000000003,kg*m^2
2-mass,"M[0,0] arm reaching out (shoulder pan)",3.6911978229152007,kg*m^2
2-mass,ratio out/up for the pan joint,118.688032891164,x
3-passivity,worst |S + S^T| where S = Mdot - 2C,3.917065005687448e-10,
3-passivity,worst |qd^T (Mdot - 2C) qd|,6.405396213438053e-10,W
3-passivity,worst |C qd - rnea velocity term|,3.051476640814066e-10,N*m
3-passivity,energy-balance drift after 4 s of random torque,2.763633931368581e-06,J
4-scaling,"fitted exponent p in time ~ n^p, RNEA",1.0086982334591073,
4-scaling,"fitted exponent p in time ~ n^p, M+C+g",1.9010198858339602,
4-scaling,speed-up of RNEA at n=40,44.814770201204226,x
4-scaling,RNEA time at n=40,9.318493003956974,ms
5-terms,speed x0.25: gravity RMS,11.339360072674413,N*m
5-terms,speed x0.25: Coriolis RMS,0.07476292839818935,N*m
5-terms,speed x0.25: inertia RMS,0.2481284076277345,N*m
5-terms,speed x0.50: gravity RMS,11.339360072674413,N*m
