stage,closed_form,cond,corner_noise_px,corners,covered_pct,cx,cx_err,cy,depth_err_pct,err_at_image_corner_px,err_inside_data_px,fx,fx_err,fx_err_pct,fx_err_px,fx_final,fx_init,fx_std,fx_std_px,fy,heldout_rms,invertible,k1,max_px,max_rot_deg,max_shift_px,max_trans_mm,mean_depth_mm,mean_px,mean_shift_px,model,n,n_params,n_views,r_data,r_image_corner,rms_px,train_rms,train_rms_px,true_depth_mm,views
detector,,,,600,,,,,,,,,,,,,,,,,,,,0.1285,,,,,0.0397,,,,,15,,,,,,,
closed_form,,,,,,311.77,,237.76,,,,521.89,-18.11,,,,,,,525.96,,,,,,,,,,,,,,,,,2.656,,,,
refined,,,,,,321.7,-0.3,240.93,,,,539.84,-0.16,,,,,0.22,,537.81,,,-0.2853,,,,,,,,,,,,,,0.0414,,,,
opencv,,,,,,321.7,,240.93,,,,539.84,-0.16,,,,,,,537.81,,,-0.2853,,,,,,,,,,,,,,0.0414,,,,
ours_vs_opencv_poses,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0001,,,,,,,,,,,,,,
views_varied,ok,8.0e+02,,,,,,,0.1,,,540.6,,0.12,,,,0.6,,,,,,,,,,,,,,,,,,,0.1296,,,,varied
views_one_axis,ok,7.8e+02,,,,,,,0.02,,,540.1,,0.02,,,,1.2,,,,,,,,,,,,,,,,,,,0.1288,,,,one_axis
views_centered,ok,8.9e+02,,,,,,,0.13,,,540.9,,0.16,,,,0.8,,,,,,,,,,,,,,,,,,,0.1287,,,,centered
views_fronto,ok,1.6e+06,,,,,,,-11.39,,,478.4,,-11.42,,,,7263.4,,,,,,,,,,,,,,,,,,,0.1286,,,,fronto
views_fronto_perfect_lens,FAILED,1.9e+06,,,,,,,-16.55,,,450.7,,-16.53,,,,5869.9,,,,,,,,,,,,,,,,,,,0.1281,,,,fronto_perfect_lens
fronto_init,,,,,,,,,,,,,,,,350.3,400.0,,,,,,,,,,,271.4,,,,,,,,,0.1285,,,418.3,
fronto_init,,,,,,,,,,,,,,,,454.7,540.0,,,,,,,,,,,352.4,,,,,,,,,0.1286,,,418.3,
fronto_init,,,,,,,,,,,,,,,,578.0,700.0,,,,,,,,,,,447.8,,,,,,,,,0.1286,,,418.3,
fronto_init,,,,,,,,,,,,,,,,724.4,900.0,,,,,,,,,,,561.3,,,,,,,,,0.1286,,,418.3,
n_views,,,,,,,,,,,,,,,13.392,,,,3.475,,,,,,,,,,,,,3,,,,,0.1341,,,,
n_views,,,,,,,,,,,,,,,9.364,,,,6.255,,,,,,,,,,,,,4,,,,,0.1639,,,,
n_views,,,,,,,,,,,,,,,0.575,,,,2.391,,,,,,,,,,,,,5,,,,,0.1353,,,,
n_views,,,,,,,,,,,,,,,1.43,,,,2.04,,,,,,,,,,,,,6,,,,,0.1362,,,,
n_views,,,,,,,,,,,,,,,1.032,,,,1.343,,,,,,,,,,,,,8,,,,,0.1364,,,,
n_views,,,,,,,,,,,,,,,0.761,,,,1.076,,,,,,,,,,,,,10,,,,,0.137,,,,
n_views,,,,,,,,,,,,,,,0.501,,,,0.841,,,,,,,,,,,,,14,,,,,0.1359,,,,
n_views,,,,,,,,,,,,,,,0.265,,,,0.67,,,,,,,,,,,,,20,,,,,0.1353,,,,
dist_model,,,,,,,,,,,,,-0.86,,,,,,,,0.8012,,0.0,,,,,,,,none,,0,,,,,0.4094,,,
dist_model,,,,,,,,,,,,,0.37,,,,,,,,0.1522,,-0.275,,,,,,,,k1,,1,,,,,0.1368,,,
dist_model,,,,,,,,,,,,,0.37,,,,,,,,0.1825,,-0.2617,,,,,,,,"k1,k2",,2,,,,,0.1366,,,
dist_model,,,,,,,,,,,,,0.23,,,,,,,,0.1475,,-0.266,,,,,,,,"k1,k2,p1,p2",,4,,,,,0.1345,,,
dist_model,,,,,,,,,,,,,0.27,,,,,,,,0.1548,,-0.2689,,,,,,,,"k1,k2,p1,p2,k3",,5,,,,,0.1345,,,
noise,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
noise,,,0.05,,,,,,,,,,,,0.292,,,,,,,,,,,,,,,,,,,,,,0.0682,,,,
noise,,,0.1,,,,,,,,,,,,0.581,,,,,,,,,,,,,,,,,,,,,,0.1363,,,,
noise,,,0.2,,,,,,,,,,,,1.151,,,,,,,,,,,,,,,,,,,,,,0.2726,,,,
noise,,,0.4,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,0.5452,,,,
noise,,,0.8,,,,,,,,,,,,4.467,,,,,,,,,,,,,,,,,,,,,,1.0905,,,,
distortion_field,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,17.78,,,,,,,,,,,
coverage,,,,,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,0.899,,,,,
extrapolation,,,,,,,,,,0.52,0.303,,,,,,,,,,,True,,,,,,,,,"k1,k2",,,,,,,,0.0528,,
extrapolation,,,,,,,,,,77.89,0.123,,,,,,,,,,,False,,,,,,,,,"k1,k2,p1,p2,k3",,,,,,,,0.0414,,
