stage,pose,dist_mm,corner_px,rms_px,rot_err_deg,trans_err_mm,vs_opencv_deg,dist_m,detected,tag_px,rot_err_best_of_two_deg,depth_err_mm,rel_depth_pct,tilt_deg,two_solutions_pct,better_fit_is_wrong_pct,median_rms_ratio,shipped_err_deg,oracle_err_deg,rms_best,rms_second,err_best_deg,err_second_deg,normals_apart_deg,n,mean_deg,median_deg,p90_deg,over_10deg_pct,ratio_threshold,kept_pct,corr_log_ratio_vs_log_err,wrong_pick_pct_ratio_below_1p2,wrong_pick_pct_ratio_above_2,n_tags,tags_found,size_err_pct,depth_err_pct,camera,subpixel,corner_err_px
detect,0,450,0.239,0.075,0.281,1.37,0.02711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detect,1,300,0.223,0.061,0.18,0.29,0.01829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detect,2,800,0.229,0.019,0.831,1.76,0.05447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detect,3,550,0.336,0.147,0.662,3.6,0.05635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,0.133,,,0.25,8,120.3,0.133,0.35,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,0.194,,,0.35,8,86.0,0.194,0.54,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,0.318,,,0.5,8,60.2,0.318,1.3,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,0.4,,,0.7,8,42.9,0.4,3.15,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,0.56,,,1.0,8,30.0,0.56,5.87,0.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,40.246,,,1.4,8,21.0,2.94,19.0,1.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,41.816,,,2.0,8,13.8,4.939,163.13,8.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,,,32.157,,,2.8,4,10.1,4.788,185.99,6.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambiguity_tilt,,,,,,,,1.2,,,,,,3,81.7,55.1,1.62,11.48,9.53,,,,,,,,,,,,,,,,,,,,,,
ambiguity_tilt,,,,,,,,1.2,,,,,,6,77.5,47.3,1.529,11.78,8.26,,,,,,,,,,,,,,,,,,,,,,
ambiguity_tilt,,,,,,,,1.2,,,,,,9,82.5,31.3,1.557,10.12,6.5,,,,,,,,,,,,,,,,,,,,,,
