stage,baseline_cm,win,density,median_mm,bad1_pct,case,pitch_deg,rows_off_px,z_m,true_disp_px,true_disp_frac,disp_bias_px,disp_noise_px,depth_noise_mm,median_depth_err_mm,rel_pct,exponent_of_noise,exponent_of_total_error,median_disp_noise_px,theory_noise_at_5m_mm,measured_noise_at_5m_mm,measured_total_at_5m_mm,max_disp_searched,far_wall_err_mm,contrast_levels,median_disp_err_px,blank_min_over_mean,textured_min_over_mean,flat_disp_err_px,edge_disp_err_px,edge_bad1_pct,matcher
pipeline,9,9,0.84,15.338,2.366,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectify,,,0.774,387.085,64.937,raw (distorted) images,,,,,,,,,,,,,,,,,,,,,,,,,,
rectify,,,0.84,15.338,2.366,undistorted,,,,,,,,,,,,,,,,,,,,,,,,,,
misalign,,,0.84,15.338,2.366,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
misalign,,,0.767,76.186,17.403,,0.1,0.94,,,,,,,,,,,,,,,,,,,,,,,,
misalign,,,0.351,738.931,76.238,,0.3,2.82,,,,,,,,,,,,,,,,,,,,,,,,
misalign,,,0.317,2657.958,95.27,,0.6,5.63,,,,,,,,,,,,,,,,,,,,,,,,
misalign,,,0.306,2784.671,97.408,,1.2,11.27,,,,,,,,,,,,,,,,,,,,,,,,
distance,,,0.811,,,,,,0.4,121.5,0.5,-0.002,0.0546,0.18,0.12,0.03,,,,,,,,,,,,,,,,
distance,,,0.875,,,,,,0.6,81.0,0.0,-0.0003,0.0295,0.22,0.15,0.025,,,,,,,,,,,,,,,,
distance,,,0.917,,,,,,0.9,54.0,0.0,-0.0002,0.0294,0.49,0.33,0.037,,,,,,,,,,,,,,,,
distance,,,0.943,,,,,,1.3,37.38,0.385,-0.0728,0.0432,1.51,2.56,0.197,,,,,,,,,,,,,,,,
distance,,,0.959,,,,,,1.8,27.0,0.0,-0.0004,0.0293,1.95,1.32,0.073,,,,,,,,,,,,,,,,
distance,,,0.972,,,,,,2.5,19.44,0.44,-0.0483,0.0477,6.16,6.77,0.271,,,,,,,,,,,,,,,,
distance,,,0.98,,,,,,3.5,13.89,0.886,0.0478,0.0317,7.93,12.21,0.349,,,,,,,,,,,,,,,,
distance,,,0.986,,,,,,5.0,9.72,0.72,0.0835,0.0379,19.15,42.75,0.855,,,,,,,,,,,,,,,,
distance_fit,,,,,,,,,,,,,,,,,1.952,2.388,0.0348,17.9,19.1,42.8,,,,,,,,,,
baseline,3.0,,0.967,20.54,,,,,,,,,,,,,,,,,,,33,27.9,,,,,,,,
baseline,6.0,,0.935,14.07,,,,,,,,,,,,,,,,,,,65,22.3,,,,,,,,
baseline,9.0,,0.905,14.29,,,,,,,,,,,,,,,,,,,98,20.2,,,,,,,,
baseline,15.0,,0.853,11.65,,,,,,,,,,,,,,,,,,,162,16.6,,,,,,,,
baseline,25.0,,0.791,7.58,,,,,,,,,,,,,,,,,,,270,10.0,,,,,,,,
texture,,,0.116,,,,,,,,,,,,,,,,,,,,,,0,26.639,,,,,,
texture,,,0.367,,,,,,,,,,,,,,,,,,,,,,4,0.886,,,,,,
texture,,,0.786,,,,,,,,,,,,,,,,,,,,,,10,0.329,,,,,,
texture,,,0.918,,,,,,,,,,,,,,,,,,,,,,25,0.144,,,,,,
texture,,,0.925,,,,,,,,,,,,,,,,,,,,,,60,0.083,,,,,,
texture,,,0.925,,,,,,,,,,,,,,,,,,,,,,120,0.07,,,,,,
texture,,,0.925,,,,,,,,,,,,,,,,,,,,,,210,0.068,,,,,,
cost_curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6973,0.0801,,,,
window,,3,0.828,,,,,,,,,,,,,,,,,,,,,,,,,,0.0856,0.1115,12.96,
window,,5,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,0.0665,0.091,11.45,
window,,9,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,0.0607,0.098,15.19,
window,,15,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,0.0614,0.1051,18.98,
window,,21,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,0.0614,0.0998,20.13,
window,,31,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,0.0609,0.0945,23.38,
vs_opencv,,,0.84,15.34,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,ours (SAD 9x9)
vs_opencv,,,0.73,12.31,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenCV StereoBM
vs_opencv,,,0.812,29.02,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenCV StereoSGBM
