stage,pts_a,pts_b,true_rot_deg,true_trans_mm,start_rms_mm,mode,iters,seconds,final_rms_mm,rot_err_deg,trans_err_mm,init_rot_deg,init_trans_m,success_pct,median_rot_err_deg,median_rms_mm,n,converged_ok_pct,rms_when_right_mm,rms_when_wrong_mm,corr_rms_vs_rot_err,threshold_mm,caught_pct_of_failures,false_alarm_pct_of_successes,overlap,trim,rms_mm,outlier_frac,scene,pts,smallest_eigenvalue,condition_number,slide_along_wall_mm,error_across_wall_mm,voxel_cm
setup,4726,5046,11.025,293.1,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
align,,,,,,point,58,6.19,16.11,0.0354,53.09,,,,,,,,,,,,,,,,,,,,,,,,
align,,,,,,plane,5,0.65,15.34,0.0037,0.54,,,,,,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,0,0.0,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,0,0.1,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,0,0.25,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,0,0.5,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,5,0.0,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,5,0.1,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,5,0.25,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,5,0.5,80.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,10,0.0,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,10,0.1,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,10,0.25,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,10,0.5,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,20,0.0,80.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,20,0.1,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,20,0.25,80.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,20,0.5,80.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,30,0.0,60.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,30,0.1,100.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,30,0.25,80.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,30,0.5,40.0,0.927,160.36,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,45,0.0,40.0,1.735,235.14,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,45,0.1,40.0,0.927,216.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,45,0.25,60.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,45,0.5,40.0,0.927,160.36,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,60,0.0,40.0,0.928,217.43,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,60,0.1,40.0,1.736,234.96,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,60,0.25,60.0,0.004,15.34,,,,,,,,,,,,,,,,,,,
basin,,,,,,,,,,,,60,0.5,20.0,1.735,235.09,,,,,,,,,,,,,,,,,,,
residual_vs_truth,,,,,,,,,,,,,,,,,140,76.4,15.34,234.92,0.96,,,,,,,,,,,,,,
residual_threshold,,,,,,,,,,,,,,,,,,,,,,16,100.0,0.0,,,,,,,,,,,
residual_threshold,,,,,,,,,,,,,,,,,,,,,,18,100.0,0.0,,,,,,,,,,,
residual_threshold,,,,,,,,,,,,,,,,,,,,,,20,100.0,0.0,,,,,,,,,,,
residual_threshold,,,,,,,,,,,,,,,,,,,,,,25,100.0,0.0,,,,,,,,,,,
overlap,,,,,,,,,,0.003,0.75,,,,,,,,,,,,,,1.0,1.0,21.72,,,,,,,,
overlap,,,,,,,,,,0.004,0.21,,,,,,,,,,,,,,1.0,0.8,14.2,,,,,,,,
overlap,,,,,,,,,,0.005,0.35,,,,,,,,,,,,,,1.0,0.6,12.09,,,,,,,,
