stage,distance_m,final_err_m,drift_pct,max_err_m,final_rot_err_deg,seconds,mean_tracks,mean_inlier_pct,scale_source,outlier_frac,arm,stride,baseline_m,yaw_bias_deg_per_step,bias_deg,growth_exponent,max_corners
baseline,102.2,5.134,5.024,5.134,3.412,6.8,567.6,68.8,,,,,,,,,
scale,102.2,5.134,5.024,5.134,3.412,,,,per-step scale from ground truth,,,,,,,,
scale,102.2,5.503,5.386,5.503,3.412,,,,assume a constant 0.5 m per frame,,,,,,,,
scale,102.2,97.926,95.842,97.926,3.412,,,,no scale at all (unit steps),,,,,,,,
ransac,102.2,32.205,31.52,32.205,70.789,,,88.1,,0.0,"plain 8-point, no rejection",,,,,,
ransac,102.2,7.617,7.455,7.617,5.859,,,57.3,,0.0,our RANSAC + 8-point,,,,,,
ransac,102.2,5.134,5.024,5.134,3.412,,,68.8,,0.0,OpenCV RANSAC,,,,,,
ransac,102.2,34.322,33.591,34.322,48.642,,,83.5,,0.05,"plain 8-point, no rejection",,,,,,
ransac,102.2,8.422,8.242,8.422,3.295,,,53.9,,0.05,our RANSAC + 8-point,,,,,,
ransac,102.2,5.918,5.792,5.918,4.116,,,65.5,,0.05,OpenCV RANSAC,,,,,,
ransac,102.2,38.639,37.816,38.639,57.879,,,80.0,,0.1,"plain 8-point, no rejection",,,,,,
ransac,102.2,16.334,15.986,16.334,17.408,,,49.7,,0.1,our RANSAC + 8-point,,,,,,
ransac,102.2,5.352,5.238,5.352,3.094,,,62.1,,0.1,OpenCV RANSAC,,,,,,
ransac,102.2,8.699,8.514,8.699,79.601,,,72.5,,0.2,"plain 8-point, no rejection",,,,,,
ransac,102.2,12.975,12.699,13.003,16.839,,,41.3,,0.2,our RANSAC + 8-point,,,,,,
ransac,102.2,4.823,4.72,4.823,1.776,,,55.4,,0.2,OpenCV RANSAC,,,,,,
ransac,102.2,30.849,30.193,30.849,157.387,,,63.0,,0.35,"plain 8-point, no rejection",,,,,,
ransac,102.2,23.205,22.711,23.205,25.491,,,29.1,,0.35,our RANSAC + 8-point,,,,,,
ransac,102.2,6.569,6.429,6.569,3.875,,,44.9,,0.35,OpenCV RANSAC,,,,,,
stride,102.2,5.134,5.024,5.134,3.412,,567.6,68.8,,,,1,0.5,,,,
stride,102.2,42.514,41.61,42.514,58.083,,564.3,26.6,,,,2,1.0,,,,
stride,100.9,65.576,65.008,65.576,39.728,,567.1,16.1,,,,3,1.5,,,,
stride,102.2,82.797,81.037,82.797,4.543,,576.3,45.1,,,,5,2.5,,,,
stride,102.2,79.822,78.128,79.822,26.79,,572.4,38.0,,,,8,4.0,,,,
stride,96.7,29.325,30.323,29.325,11.025,,571.6,20.7,,,,12,6.0,,,,
yaw_bias,102.2,5.134,5.024,5.134,3.412,,,,,,,,,0.0,,,
yaw_bias,102.2,6.915,6.768,6.915,5.34,,,,,,,,,0.01,,,
yaw_bias,102.2,8.697,8.512,8.697,7.306,,,,,,,,,0.02,,,
yaw_bias,102.2,14.036,13.738,14.036,13.266,,,,,,,,,0.05,,,
yaw_bias,102.2,22.883,22.396,22.883,23.244,,,,,,,,,0.1,,,
yaw_bias_fit,,,,,,,,,,,,,,,0.1,1.394,
features,102.2,4.029,3.943,4.029,2.928,,39.3,,,,,,,,,,40
features,102.2,3.513,3.438,3.513,4.367,,78.5,,,,,,,,,,80
features,102.2,4.557,4.46,4.557,2.418,,146.7,,,,,,,,,,150
features,102.2,6.658,6.516,6.658,4.456,,290.7,,,,,,,,,,300
features,102.2,5.134,5.024,5.134,3.412,,567.6,,,,,,,,,,600
features,102.2,3.833,3.752,3.997,0.529,,1055.4,,,,,,,,,,1200
