stage,seconds,angle_deg,velocity_m_s,position_m,angle_exponent,velocity_exponent,position_exponent,source,pos_1s_mm,pos_10s_m,pos_60s_m,tilt_deg,leaked_accel_m_s2,position_after_10s_m,sensor,true_density,read_from_curve,min_deviation,tau_at_min_s,calibration_seconds,position_error_after_20s_m,rate_dps,sample_hz,exp_err_deg,euler_orth_err_deg,euler_err_deg,euler_not_a_rotation_by,zupt_every_s,position_error_after_60s_m,tilt_pred_deg,tilt_mc_deg,pos_pred_m,pos_mc_m
still,1,0.432,0.065,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,2,0.867,0.157,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,5,2.001,0.67,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,10,3.954,2.611,8.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,30,10.95,22.532,232.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still,60,22.571,87.039,1799.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still_growth,,,,,0.98,1.91,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,
sources,,,,,,,,everything,32.7,8.583,1447.65,,,,,,,,,,,,,,,,,,,,,,
sources,,,,,,,,gyro white noise only,10.91,3.003,141.99,,,,,,,,,,,,,,,,,,,,,,
sources,,,,,,,,gyro bias only,6.83,6.556,1401.44,,,,,,,,,,,,,,,,,,,,,,
sources,,,,,,,,accel white noise only,10.68,0.303,5.01,,,,,,,,,,,,,,,,,,,,,,
sources,,,,,,,,accel bias only,24.7,2.426,86.9,,,,,,,,,,,,,,,,,,,,,,
tilt_leak,,,,,,,,,,,,0.05,0.0086,0.42,,,,,,,,,,,,,,,,,,,
tilt_leak,,,,,,,,,,,,0.1,0.0171,0.841,,,,,,,,,,,,,,,,,,,
tilt_leak,,,,,,,,,,,,0.5,0.0856,4.204,,,,,,,,,,,,,,,,,,,
tilt_leak,,,,,,,,,,,,1.0,0.1712,8.407,,,,,,,,,,,,,,,,,,,
allan,,,,,,,,,,,,,,,gyro,0.0035,0.00343,0.000237,184.4,,,,,,,,,,,,,,
allan,,,,,,,,,,,,,,,accel,0.012,0.0124,0.000892,115.5,,,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,0,60.997,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,0.5,97.932,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,2,31.768,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,5,32.555,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,20,19.985,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,60,15.769,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,200,14.454,,,,,,,,,,,,
bias_cal,,,,,,,,,,,,,,,,,,,,600,16.45,,,,,,,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,30,400,0.0634,0.0634,0.0634,0.00349,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,30,100,0.2538,0.2538,0.2538,0.014,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,30,25,1.0153,1.0153,1.0153,0.05671,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,180,400,0.1485,0.1493,0.1494,0.14564,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,180,100,0.5941,0.645,0.6511,0.67581,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,180,25,2.3828,4.6381,4.8442,5.18462,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,720,400,0.1473,1.0801,1.0902,6.35688,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,720,100,0.591,16.9658,17.0957,1219.18887,,,,,,
methods,,,,,,,,,,,,,,,,,,,,,,720,25,2.4793,123.9964,122.3239,39937949788.77037,,,,,,
zupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.069,,,,
zupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,355.298,,,,
zupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,74.424,,,,
zupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.427,,,,
zupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,18.76,,,,
error_state,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2015,0.184,0.0104,0.0116
error_state,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4489,0.4853,0.4361,0.4182
error_state,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6345,0.6575,2.4377,2.4794
error_state,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8948,0.8688,13.5769,14.4267
