experiment,name,value,sigma_z,best_q,rmse,pen_10x_small,pen_10x_big,turn_deg_s,lateral_accel,peak_lag,straight_rmse,mean_nis_in_turn,model,turn_rmse,overall_rmse,gap_steps,error,reported_sigma,nees,reentry_gain,dt,pos_rmse,vel_rmse
1,raw_position_rmse,7.884798069277753,,,,,,,,,,,,,,,,,,,,,
1,kf_position_rmse,3.766350397965243,,,,,,,,,,,,,,,,,,,,,
1,fd1_velocity_rmse,22.57673396246471,,,,,,,,,,,,,,,,,,,,,
1,fd10_velocity_rmse,2.4692269796452466,,,,,,,,,,,,,,,,,,,,,
1,kf_velocity_rmse,1.6161852193524133,,,,,,,,,,,,,,,,,,,,,
1,mean_nees,3.4569239706175683,,,,,,,,,,,,,,,,,,,,,
2,best_per_sensor,,2.0,0.5623413251903491,1.7552103608210015,,,,,,,,,,,,,,,,,,
2,best_per_sensor,,6.0,0.31622776601683794,4.129589866403256,,,,,,,,,,,,,,,,,,
2,best_per_sensor,,18.0,0.31622776601683794,9.65946193426715,,,,,,,,,,,,,,,,,,
2,mistune_penalty,,2.0,,,1.339119220197792,1.151393964084735,,,,,,,,,,,,,,,,
2,mistune_penalty,,6.0,,,1.518817934432334,1.1466059651906504,,,,,,,,,,,,,,,,
2,mistune_penalty,,18.0,,,1.4249380238693488,1.146987096034863,,,,,,,,,,,,,,,,
2,gain_invariance,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,
3,alpha_kalata,0.25055708918763675,,,,,,,,,,,,,,,,,,,,,
3,beta_kalata,0.036070987851801295,,,,,,,,,,,,,,,,,,,,,
3,alpha,0.250744295242402,,,,,,,,,,,,,,,,,,,,,
3,beta,0.036066482419180444,,,,,,,,,,,,,,,,,,,,,
3,tracking_index,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,
3,steady_pos_sigma,3.0044624525406327,,,,,,,,,,,,,,,,,,,,,
3,steady_vel_sigma,1.2700669569761522,,,,,,,,,,,,,,,,,,,,,
3,settle_steps,20.0,,,,,,,,,,,,,,,,,,,,,
4,turn_sweep,,,,,,,0.0,0.0,0.541921725206649,3.542070758854109,1.864541507980224,,,,,,,,,,,
4,turn_sweep,,,,,,,2.0,0.6981317007977318,4.529789799984949,3.5062878591758815,2.2112063487624067,,,,,,,,,,,
4,turn_sweep,,,,,,,4.0,1.3962634015954636,7.639273392278908,3.6219932110343844,3.2067230621480416,,,,,,,,,,,
4,turn_sweep,,,,,,,6.0,2.0943951023931957,11.368978899031898,3.9021993418651726,4.803264971600423,,,,,,,,,,,
4,turn_sweep,,,,,,,9.0,3.141592653589793,16.43836816261781,3.649721420023575,8.16704066613594,,,,,,,,,,,
4,turn_sweep,,,,,,,12.0,4.188790204786391,20.623251010886097,3.4056543246775077,12.288887881686298,,,,,,,,,,,
4,lag_exponent,0.8600667821505034,,,,,,,,,,,,,,,,,,,,,
5,model_comparison,,,,,,,,,,13.751920191625851,,CV q=0.05,22.759992709216892,16.972913417246094,,,,,,,,
5,model_comparison,,,,,,,,,,4.729264376196269,,CV q=0.5,9.376302397613726,6.505205409270194,,,,,,,,
5,model_comparison,,,,,,,,,,4.9072991884647195,,CV q=5.0,5.49965203304278,5.108332044571722,,,,,,,,
5,model_comparison,,,,,,,,,,7.427346497809195,,CA q=0.005,9.040825223942672,7.973133423542384,,,,,,,,
5,model_comparison,,,,,,,,,,4.921081282785325,,CA q=0.05,5.529868409217303,5.141228452923426,,,,,,,,
5,model_comparison,,,,,,,,,,5.095274261364136,,CA q=0.5,5.350670359990476,5.190146744519821,,,,,,,,
5,model_comparison,,,,,,,,,,5.958530151655844,,CA q=5.0,6.0595399743532585,6.004601120809459,,,,,,,,
5,model_comparison,,,,,,,,,,4.340788644266839,,adaptive,6.479437486969166,5.1000093708788246,,,,,,,,
6,occlusion,,,,,,,,,,,,,,,0,3.692119720388673,4.24895181845499,3.9770112979517047,0.250744316047358,,,
6,occlusion,,,,,,,,,,,,,,,2,4.944661765958841,5.656873056185015,3.9424751239620077,0.3685214720182764,,,
6,occlusion,,,,,,,,,,,,,,,4,6.321040831495201,7.375575538364549,3.9312332768380576,0.4907816290066947,,,
6,occlusion,,,,,,,,,,,,,,,8,10.344444258455619,11.51319936460101,3.83146465196679,0.690322708794402,,,
6,occlusion,,,,,,,,,,,,,,,16,19.071791529423685,21.869851763191683,3.6236662452453086,0.8831436906006102,,,
6,occlusion,,,,,,,,,,,,,,,32,42.90092897838794,48.738826357003454,4.083683075243331,0.9726976249793876,,,
7,rate_vs_noise,,3.0,0.38986037025490716,,,,,,,,,,,,,,,,,0.125,1.5443156781671419,1.2581184276023651
7,rate_vs_noise,,4.242640687119286,0.8111308307896873,,,,,,,,,,,,,,,,,0.25,2.561210203536304,1.5534903389326804
7,rate_vs_noise,,6.0,0.38986037025490716,,,,,,,,,,,,,,,,,0.5,4.258328683078237,1.7933193411595831
7,rate_vs_noise,,8.485281374238571,0.8111308307896873,,,,,,,,,,,,,,,,,1.0,7.0023693225766666,2.1609140321518496
7,rate_vs_noise,,12.0,0.8111308307896873,,,,,,,,,,,,,,,,,2.0,10.785923543075738,2.4287801722135955
