experiment,name,value,matcher,trans_mm,rot_deg,rot_p90_deg,iters,ms,geometry,match_err_mm,along_err_mm,min_eig,eig_ratio,K,tp,precision,lift,recall,accepted,false_accepted,ms_each,nodes,odom_edges,loop_edges,ate_before,ate_l2,ate_after,seconds,n_bad,kernel,ate,poses,on_wall_pct,cells
1,distance,89.10517571828737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,wheel_final,5.832288816449292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,scan_final,2.5584036726007353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ms_per_scan,18.243948618570965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mean_icp_iters,12.457142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,matcher,,ICP point-to-point,15.71130188534093,0.13569953877179794,0.31806914396179886,16.75,9.233788649241129,,,,,,,,,,,,,,,,,,,,,,,,,,
2,matcher,,ICP line-to-line,13.673222723926209,0.0801166055293771,0.18966735834344206,13.45,18.926366170247395,,,,,,,,,,,,,,,,,,,,,,,,,,
2,matcher,,correlative (no seed),12.707219294763455,0.3136985933827388,0.5564070467451641,,289.85445499420166,,,,,,,,,,,,,,,,,,,,,,,,,,
2,matcher,,correlative + ICP,13.869778418002548,0.1656409839317921,0.20764398103552723,,306.5060257911682,,,,,,,,,,,,,,,,,,,,,,,,,,
3,degeneracy,,,,,,,,corridor,30.564972837144484,30.482872331086874,4.623819341742355,52.89502362872105,,,,,,,,,,,,,,,,,,,,,
3,degeneracy,,,,,,,,room,13.941968405037699,12.97577749746831,95.31113754698374,1.479291422503235,,,,,,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,25,25,1.0,18.577083333333334,0.004006410256410256,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,50,49,0.98,18.205541666666665,0.007852564102564102,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,100,98,0.98,18.205541666666665,0.015705128205128205,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,200,192,0.96,17.834,0.03076923076923077,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,500,480,0.96,17.834,0.07692307692307693,,,,,,,,,,,,,,,,
4,descriptor_ranking,,,,,,,,,,,,,1000,917,0.917,17.035185416666668,0.1469551282051282,,,,,,,,,,,,,,,,
4,verified,,,,,,,,,,,,,,,0.9602272727272727,,,176,7,205.4003882408142,,,,,,,,,,,,,
5,pose_graph,,,,,,,,,,,,,,,,,,,,,561,560,176,8.507468012921,4.284445062729851,0.2923361525920944,5.877947568893433,,,,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,l2,4.284445053054823,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,huber,2.314776257383283,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,cauchy,0.29224806209296045,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,l2,4.686003917065866,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,huber,3.7420968625739017,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,cauchy,0.33911904054739495,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,l2,6.044858378981508,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,huber,5.666872207179894,,,
6,false_closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,cauchy,0.3200496185715537,,,
7,map_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wheel+scan odometry,31.41753916982253,3923
7,map_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after pose graph,67.2880019513634,3363
7,map_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,with true poses,99.99433260790714,2904
