experiment,name,expanded,pct_of_free,cost,ms,ratio,pct,queries,mean_excess_pct,worst_excess_pct,mean_speedup_vs_astar,admissible,pct_suboptimal,speedup,bound_pct,fifo,low_h,same_cost,dijkstra,astar,free_cells,mean,worst,max,free
1,dijkstra,21656,99.6,215.1198,83.57,,,,,,,,,,,,,,,,,,,,
1,astar,3674,16.9,215.1198,23.34,,,,,,,,,,,,,,,,,,,,
1,greedy,256,1.18,228.7178,1.71,,,,,,,,,,,,,,,,,,,,
1,speedup_astar_over_dijkstra,,,,,5.894,,,,,,,,,,,,,,,,,,,
1,greedy_suboptimality_pct,,,,,,6.321,,,,,,,,,,,,,,,,,,
1,greedy_over_many_queries,,,,,,,48,3.304,15.82,5.56,,,,,,,,,,,,,,
2,conn4_zero,9625.6,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn4_manhattan,561.6,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn4_euclidean,4341.9,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn4_octile,4068.8,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn4_chebyshev,4745.4,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn8_zero,9815.5,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn8_manhattan,347.6,,,,,,,0.9976,11.7289,,NO,,,,,,,,,,,,,
2,conn8_euclidean,1909.0,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn8_octile,676.1,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
2,conn8_chebyshev,3123.0,,,,,,,0.0,0.0,,yes,,,,,,,,,,,,,
3,manhattan_on_8conn,,,,,,,119,0.978,12.343,,,26.1,,,,,,,,,,,,
4,eps_1.0,591.1,,,,,,,0.0,0.0,,,,1.0,0.0,,,,,,,,,,
4,eps_1.05,281.4,,,,,,,0.705,1.964,,,,2.101,5.0,,,,,,,,,,
4,eps_1.2,167.2,,,,,,,2.584,6.603,,,,3.535,20.0,,,,,,,,,,
4,eps_1.5,130.4,,,,,,,3.236,7.201,,,,4.533,50.0,,,,,,,,,,
4,eps_2.0,120.1,,,,,,,3.502,7.731,,,,4.922,100.0,,,,,,,,,,
4,eps_3.0,117.8,,,,,,,3.645,7.731,,,,5.018,200.0,,,,,,,,,,
4,eps_5.0,116.0,,,,,,,4.224,11.67,,,,5.096,400.0,,,,,,,,,,
4,eps_10.0,115.3,,,,,,,4.224,11.67,,,,5.127,900.0,,,,,,,,,,
4,eps_50.0,114.6,,,,,,,4.224,11.67,,,,5.158,4900.0,,,,,,,,,,
5,open,,,,,,,,,,,,,3.169,,339.9,107.2,True,,,,,,,
5,blob,,,,,,,,,,,,,1.433,,787.0,549.4,True,,,,,,,
6,maze_101,,,,,,,,,,,,,1.021,,,,,3527,3454,4999,,,,
6,open_101,,,,,,,,,,,,,24.174,,,,,8074,334,,,,,
6,maze_h_informedness_pct,,,,,,16.37,,,,,,,,,,,,,,,,,,
6,open_h_informedness_pct,,,,,,96.22,,,,,,,,,,,,,,,,,,
7,empty_8conn_excess_pct,,,,,,,,,,,,,,,,,,,,,5.464,8.234,,
7,anyangle_gain_pct,,,,,,,,,,,,,,,,,,,,,4.032,,7.006,
7,res_60,278,,,1.71,,,,,,,,,,,,,,,,,,,,2791
7,res_100,704,,,4.05,,,,,,,,,,,,,,,,,,,,7953
7,res_160,2459,,,16.46,,,,,,,,,,,,,,,,,,,,20475
7,res_240,9349,,,55.6,,,,,,,,,,,,,,,,,,,,46227
7,res_340,14723,,,92.16,,,,,,,,,,,,,,,,,,,,94309
