experiment,name,samples,nodes,extend_rate_pct,checks,seconds,pct,success_pct,mean_iters,mean_nodes,mean_cost,rejected_pct,cost,ms,rrt,rrt_star,rrt_excess_pct,star_excess_pct,rrt_pct,star_pct,rrt_ms,star_ms,ratio,corridor_area_pct,mean_samples,n,min,median,max,optimum,excess_pct,microseconds,total_ms,seg_check_us,collision_pct,point_tests,exponent
1,growth,6000,4538,75.6,30864,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coverage_100,,,,,,41.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coverage_400,,,,,,92.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coverage_1500,,,,,,99.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coverage_6000,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.0,,,,,,,100.0,602.8,419.7,18.3161,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.01,,,,,,,100.0,473.9,316.4,17.8048,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.05,,,,,,,100.0,392.3,248.3,18.2487,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.1,,,,,,,100.0,305.2,188.9,16.8648,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.2,,,,,,,100.0,298.9,160.9,16.8052,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.5,,,,,,,100.0,408.8,144.2,16.2187,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_0.9,,,,,,,96.7,2123.8,150.9,16.038,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bias_1.0,,,,,,,0.0,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3,step_0.1,,867.8,,5807.0,,,100.0,,,,41.21,17.045,133.76,,,,,,,,,,,,,,,,,,,,,,,
3,step_0.2,,452.5,,4403.0,,,100.0,,,,41.12,17.0881,63.47,,,,,,,,,,,,,,,,,,,,,,,
3,step_0.35,,260.1,,4059.0,,,100.0,,,,44.4,17.5387,38.79,,,,,,,,,,,,,,,,,,,,,,,
3,step_0.5,,171.2,,3686.0,,,100.0,,,,46.59,17.9373,26.86,,,,,,,,,,,,,,,,,,,,,,,
3,step_0.8,,90.9,,3352.0,,,100.0,,,,50.5,17.3129,16.82,,,,,,,,,,,,,,,,,,,,,,,
3,step_1.2,,76.5,,4044.0,,,100.0,,,,52.94,17.4492,15.38,,,,,,,,,,,,,,,,,,,,,,,
3,step_2.0,,39.5,,3276.0,,,100.0,,,,54.57,16.9744,8.63,,,,,,,,,,,,,,,,,,,,,,,
3,step_3.0,,36.5,,3992.0,,,100.0,,,,55.8,17.5615,7.96,,,,,,,,,,,,,,,,,,,,,,,
4,reference_optimum,,,,,,,,,,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,
