experiment,name,value,iters,nodes,checks,ms,waypoints,cost,success_pct,median_ms,median_nodes,median_checks,median_cost,valid_pct,check_us,fk_us,total_ms,collision_pct,checks_per_node,found,attempts,median_ratio,max_ratio,median_deviation_cm,max_deviation_cm,joint_pct,task_pct,trials,grid_cells,planner_time_ratio,grid_cell_ratio,cells_10_per_joint,cells_1_degree
1,direct_line_free,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,plan,,801,379,4755,136.3,37,13.6982,,,,,,,,,,,,,,,,,,,,,,,,,
2,into the shelf | RRT,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,into the shelf | RRT-Connect,,,,,,,,100.0,221.4,605.5,7744.5,14.0583,,,,,,,,,,,,,,,,,,,,
2,out of the shelf | RRT,,,,,,,,100.0,84.5,103.0,2764.0,13.5441,,,,,,,,,,,,,,,,,,,,
2,out of the shelf | RRT-Connect,,,,,,,,100.0,212.3,589.5,7606.0,15.8213,,,,,,,,,,,,,,,,,,,,
3,res_0.4,,,,,,,,100.0,3.4,,99.0,,0.0,,,,,,,,,,,,,,,,,,,
3,res_0.2,,,,,,,,100.0,112.5,,3135.0,,33.3,,,,,,,,,,,,,,,,,,,
3,res_0.1,,,,,,,,100.0,161.0,,4908.5,,75.0,,,,,,,,,,,,,,,,,,,
3,res_0.05,,,,,,,,100.0,214.3,,7567.5,,75.0,,,,,,,,,,,,,,,,,,,
3,res_0.02,,,,,,,,100.0,341.4,,15008.5,,91.7,,,,,,,,,,,,,,,,,,,
3,res_0.01,,,,,,,,100.0,548.8,,27410.0,,100.0,,,,,,,,,,,,,,,,,,,
4,budget,,,379,4755,,,,,,,,,,7.55,2.18,133.0,27.0,12.5,,,,,,,,,,,,,,
5,ik_solutions,,,,,,,,,,,,,,,,,,,8,21,,,,,,,,,,,,
5,goals_1,,,,,,,,100.0,237.5,,,14.8762,,,,,,,,,,,,,,,,,,,,
5,goals_2,,,,,,,,100.0,579.4,,,14.4193,,,,,,,,,,,,,,,,,,,,
5,goals_4,,,,,,,,100.0,993.3,,,12.651,,,,,,,,,,,,,,,,,,,,
5,goals_8,,,,,,,,100.0,1990.5,,,10.1954,,,,,,,,,,,,,,,,,,,,
6,joint_line_bows,,,,,,,,,,,,,,,,,,,,,1.855,36.962,38.43,104.26,,,,,,,,
6,straight_moves,,,,,,,,,,,,,,,,,,,,,,,,,61.7,66.7,60,,,,,
7,dof_2,,,,,,,,90.0,3.99,21.0,,,,,,,,,,,,,,,,,,100,,,,
7,dof_3,,,,,,,,90.0,1.69,12.0,,,,,,,,,,,,,,,,,,1000,,,,
7,dof_4,,,,,,,,100.0,1.33,11.5,,,,,,,,,,,,,,,,,,10000,,,,
7,dof_5,,,,,,,,100.0,1.74,15.0,,,,,,,,,,,,,,,,,,100000,,,,
7,dof_6,,,,,,,,100.0,2.56,18.5,,,,,,,,,,,,,,,,,,1000000,,,,
7,dof_7,,,,,,,,100.0,6.61,30.5,,,,,,,,,,,,,,,,,,10000000,,,,
7,growth_3_to_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,10000,,
7,grid_blowup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,783641640960000000
