experiment,name,raw,smoothed,optimum,reduction_pct,gap_closed_pct,waypoints_before,waypoints_after,pct_of_total_gain,length_ratio,ms,points,accept_pct,runs,pct,mean_cost,std,changed,of,plan_checks,plan_ms,smooth_checks,smooth_ms,ratio,gain_pct,length,tightest_bend_m,corner_speed_mps,extra_length_pct,speed_before,speed_after,rrt_shortcut,rrt_star,rrt_star_shortcut
1,single_path,16.0809,13.4465,12.9622,16.38,84.5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_5,,,,,,,,30.44,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_10,,,,,,,,88.14,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_25,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_50,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_100,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_200,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,attempts_300,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_10,,,,10.48,,,,,0.8952,1.54,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_25,,,,13.02,,,,,0.8698,3.43,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_50,,,,13.51,,,,,0.8649,8.34,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_100,,,,13.98,,,,,0.8602,17.69,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_200,,,,13.99,,,,,0.8601,38.06,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_400,,,,13.99,,,,,0.8601,81.12,,,,,,,,,,,,,,,,,,,,,,,
2,attempts_800,,,,13.99,,,,,0.8601,164.97,,,,,,,,,,,,,,,,,,,,,,,
2,spacing_raw waypoints,,,,13.21,,,,,,41.31,35.5,,,,,,,,,,,,,,,,,,,,,,
2,spacing_2.00,,,,15.0,,,,,,40.09,9.9,,,,,,,,,,,,,,,,,,,,,,
2,spacing_1.00,,,,14.21,,,,,,38.8,18.1,,,,,,,,,,,,,,,,,,,,,,
2,spacing_0.50,,,,14.11,,,,,,40.62,34.6,,,,,,,,,,,,,,,,,,,,,,
2,spacing_0.25,,,,13.99,,,,,,39.47,67.8,,,,,,,,,,,,,,,,,,,,,,
2,spacing_0.10,,,,15.7,,,,,,38.99,167.2,,,,,,,,,,,,,,,,,,,,,,
3,full shortcut,,,,50.92,,,,,0.4908,304.7,,6.38,,,,,,,,,,,,,,,,,,,,,
3,one joint at a time,,,,43.46,,,,,0.5654,411.6,,38.69,,,,,,,,,,,,,,,,,,,,,
3,both,,,,51.34,,,,,0.4866,,,,,,,,,,,,,,,,,,,,,,,,
4,route_below-right,,,,,,,,,,,,,14,8.8,14.6126,0.1648,,,,,,,,,,,,,,,,,
4,route_above-left,,,,,,,,,,,,,146,91.2,13.7311,0.2542,,,,,,,,,,,,,,,,,
4,route_gap_pct,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,,,,
4,class_changes,,,,,,,,,,,,,,,,,0,60,,,,,,,,,,,,,,,
5,bill,,,,,,,,,,,,,,,,,,,2748,19.98,73247,39.82,1.993,12.38,,,,,,,,,
6,blend_0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.4465,0.03262,0.255,,,,,,
6,blend_0.1,,,,,,,,,,,,,,,,,,,,,,,,,13.4376,0.21067,0.649,,,,,,
6,blend_0.2,,,,,,,,,,,,,,,,,,,,,,,,,13.4287,0.1893,0.615,,,,,,
6,blend_0.4,,,,,,,,,,,,,,,,,,,,,,,,,13.4108,0.20411,0.639,,,,,,
6,blend_0.8,,,,,,,,,,,,,,,,,,,,,,,,,13.3751,0.19456,0.624,,,,,,
6,blend_tradeoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266,0.255,0.639,,,
7,budget_10ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5394,inf,
7,budget_25ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8234,inf,
7,budget_50ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3238,inf,13.3337
7,budget_100ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3238,13.6083,13.2698
7,budget_250ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3238,13.6083,13.231
7,budget_500ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3238,13.6065,13.2447
7,budget_1000ms,,,12.9622,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3238,13.5963,13.1565
