experiment,name,ms,min_m,max_m,iters_to_free,start_length,start_min_d,final_length,final_min_d,final_smooth,cov_iters,cov_length,cov_curv,plain_iters,plain_length,plain_curv,covariant,plain,ratio,min_d,collision,escapes,success_pct,scenes,mean_length,mean_ms,stomp_escapes,of,chomp_escapes,cost_evals,length,clearance,clearance_gain,length_pct,cell_m,true_clearance,build_ms,waypoints
1,sdf,896.1,-1.581,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chomp_run,,,,5,12.7346,-0.699,13.0205,0.466,1.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eta_500.0,,,,,,,,,,11,13.0206,0.00062,,12.8319,0.00361,,,,,,,,,,,,,,,,,,,,,,
2,eta_200.0,,,,,,,,,,5,13.0206,0.00063,1257,13.2678,0.00818,,,,,,,,,,,,,,,,,,,,,,
2,eta_100.0,,,,,,,,,,3,13.0206,0.00063,629,13.4277,0.00867,,,,,,,,,,,,,,,,,,,,,,
2,eta_50.0,,,,,,,,,,2,13.0206,0.00063,315,13.311,0.00547,,,,,,,,,,,,,,,,,,,,,,
2,eta_20.0,,,,,,,,,,1,13.0369,0.0006,127,13.1549,0.00249,,,,,,,,,,,,,,,,,,,,,,
2,best_case,,,,,,,,,,,,,,,,1,127,127.0,,,,,,,,,,,,,,,,,,,
3,symmetric_trap,,,,,,,,,,,,,,,,,,,-1.5213,True,,,,,,,,,,,,,,,,,
3,offset_0.0,,,,,,,,,,,,,,,,,,,-1.5201,,False,,,,,,,,,,,,,,,,
3,offset_0.01,,,,,,,,,,,,,,,,,,,0.4555,,True,,,,,,,,,,,,,,,,
3,offset_0.05,,,,,,,,,,,,,,,,,,,0.4535,,True,,,,,,,,,,,,,,,,
3,offset_0.2,,,,,,,,,,,,,,,,,,,0.4603,,True,,,,,,,,,,,,,,,,
3,offset_0.5,,,,,,,,,,,,,,,,,,,0.4682,,True,,,,,,,,,,,,,,,,
3,random_scenes,,,,,,,,,,,,,,,,,,,,,,66.7,30,13.2115,,,,,,,,,,,,,
4,straight line,,,,,,,,,,,,,,,,,,,,,,66.7,,13.2115,272.8,,,,,,,,,,,,
4,straight line x5 random restarts,,,,,,,,,,,,,,,,,,,,,,100.0,,13.4453,1381.7,,,,,,,,,,,,
4,"RRT path, then CHOMP",,,,,,,,,,,,,,,,,,,,,,96.7,,13.6877,291.6,,,,,,,,,,,,
5,symmetric_trap,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,,,,,,,,,
5,CHOMP,,,,,,,,,,,,,,,,,,,,,,60.0,,13.1816,263.2,,,,1500,,,,,,,,
5,STOMP,,,,,,,,,,,,,,,,,,,,,,80.0,,18.1091,306.0,,,,3900,,,,,,,,
6,eps_0.05,,,,,,,,,,,,,,,,,,0.547,,,,,,,,,,,,12.8635,0.0274,,,,,,
6,eps_0.1,,,,,,,,,,,,,,,,,,0.797,,,,,,,,,,,,12.8775,0.0797,,,,,,
6,eps_0.25,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,12.9257,0.2225,,,,,,
6,eps_0.5,,,,,,,,,,,,,,,,,,0.924,,,,,,,,,,,,13.0206,0.4619,,,,,,
6,eps_0.8,,,,,,,,,,,,,,,,,,0.717,,,,,,,,,,,,13.1215,0.5735,,,,,,
6,eps_1.2,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,13.2375,0.5396,,,,,,
6,tradeoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,2.91,,,,
7,waypoints_20,245.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9937,0.3881,,,,,,
7,waypoints_40,250.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0089,0.4308,,,,,,
7,waypoints_80,285.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0206,0.4619,,,,,,
7,waypoints_160,399.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0266,0.4774,,,,,,
7,waypoints_320,583.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0299,0.4862,,,,,,
7,cells_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.989,,,,0.25,0.3783,22.6,
7,cells_81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0104,,,,0.125,0.4371,107.7,
7,cells_161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0175,,,,0.0625,0.4561,356.0,
7,cells_241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0206,,,,0.04167,0.4625,810.8,
7,cells_401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.021,,,,0.025,0.4632,2319.9,
7,ainv_spread,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,58
