experiment,name,duration,solve_ms,feasible,worst_ratio,saturated_pct,topp,trapezoid,saving_pct,constant_speed,velocity_pct,acceleration_pct,either_pct,both_pct,pct,length,tightest_bend,time_s,length_pct,time_pct,vs_ref_pct,values,a_equiv,torque_ratio,a_min,a_max,g_min,g_max,vel_ratio,acc_ratio,legal
1,profile,8.7011,194.3,True,1.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,,
2,long straight + one corner,,,,,,8.7011,20.0818,56.67,10.1233,,,,,,,,,,,,,,,,,,,,,
2,gentle S,,,,,,8.5006,16.0,46.87,8.0,,,,,,,,,,,,,,,,,,,,,
2,zig-zag,,,,,,10.5881,25.1294,57.87,12.5647,,,,,,,,,,,,,,,,,,,,,
2,straight line,,,,,,8.5006,16.0,46.87,8.0,,,,,,,,,,,,,,,,,,,,,
3,which_limit,,,,,,,,,,52.5,45.5,98.0,0.0,,,,,,,,,,,,,,,,,
3,saturation_long straight + one corner,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,
3,saturation_gentle S,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,
3,saturation_zig-zag,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,
3,saturation_straight line,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,
4,raw RRT,,,,,,,,,,,,,,,15.3754,0.17961,15.9147,,,,,,,,,,,,,
4,shortcut,,,,,,,,,,,,,,,13.3641,0.40995,8.8262,,,,,,,,,,,,,
4,shortcut + blended,,,,,,,,,,,,,,,13.3173,1.11822,8.4558,,,,,,,,,,,,,
4,blend_vs_shortcut,,,,,,,,,,,,,,,,,,-0.35,-4.2,,,,,,,,,,,
5,N_25,13.63261,23.8,,1.0,,,,,,,,,,,,,,,,29.068,,,,,,,,,,
5,N_50,11.05,49.9,,1.0,,,,,,,,,,,,,,,,4.617,,,,,,,,,,
5,N_100,10.72164,96.3,,1.0,,,,,,,,,,,,,,,,1.508,,,,,,,,,,
5,N_200,10.58808,189.7,,1.0,,,,,,,,,,,,,,,,0.244,,,,,,,,,,
5,N_400,10.56639,401.2,,1.0,,,,,,,,,,,,,,,,0.039,,,,,,,,,,
5,N_800,10.56232,779.8,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
6,torque_limited,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,gravity_share_pct,,,,,,,,,,,,,,,,,,,,,"[np.float64(1.42), np.float64(4.7)]",,,,,,,,,
6,fixed_accel_bound,0.6099,,,,,,,,,,,,,,,,,,,,,"[np.float64(99.727), np.float64(560.807)]",1.7103,,,,,,,
6,joint1_variation,,,,,,,,,,,,,,,,,,,,,,,,91.604,110.492,0.079,9.848,,,
6,joint2_variation,,,,,,,,,,,,,,,,,,,,,,,,560.807,560.807,0.068,1.966,,,
7,verify_long straight + one corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
7,verify_gentle S,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
7,verify_zig-zag,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
7,verify_straight line,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
7,speedup_0.9,11.7645,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.81,True
7,speedup_1.0,10.5881,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True
7,speedup_1.05,10.0839,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.1025,False
7,speedup_1.1,9.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.21,False
7,speedup_1.25,8.4705,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.5625,False
7,speedup_1.5,7.0587,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.25,False
