experiment,name,ms,iters,objective,swings,peak_force,unknowns,dt,trapz_defect,trapz_ms,hs_defect,hs_ms,ratio,measured,theory,defect,exponent,solved,of,mean_iters,obj_min,obj_max,distinct,reversals,count,objectives,min_time,peak,u_max_values,strong_time,strong_reversals,weak_time,weak_reversals,open_deg,closed_deg,open_cart,closed_cart,hold_s,colloc_ms,colloc_iters,colloc_ok,shoot_ms,shoot_iters,shoot_ok,time
1,solution,674.8,10,53.5075,1,12.594,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_10,,,,,,,0.2,0.489517202042971,25.5,0.02869494532513528,46.0,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_20,,,,,,,0.1,0.127377382522595,41.6,0.0015726173158530088,83.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_40,,,,,,,0.05,0.017632005598450462,75.1,6.685475449064171e-05,202.0,263.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_80,,,,,,,0.025,0.002586320330820513,152.2,1.9103528732244968e-06,359.9,1353.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_160,,,,,,,0.0125,0.00033396372201366376,330.6,6.278861963693316e-08,811.9,5318.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N_320,,,,,,,0.00625,4.207794445587609e-05,707.8,1.9753638724751e-09,1699.5,21301.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,order_trapezoidal,,,,,,,,,,,,,2.744,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,order_hermite-simpson,,,,,,,,,,,,,4.798,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_10,49.9,14,59.9411,,,54,,,,,,,,,0.02869494532513528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_20,85.9,11,55.00749,,,104,,,,,,,,,0.0015726173158530088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_40,167.4,10,53.8059,,,204,,,,,,,,,6.685475449064171e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_80,355.8,10,53.50752,,,404,,,,,,,,,1.9103528732244968e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_160,775.2,10,53.43292,,,804,,,,,,,,,6.278861963693316e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_320,1661.0,10,53.41426,,,1604,,,,,,,,,1.9753638724751e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N_640,3661.0,9,53.4096,,,3204,,,,,,,,,6.161382515301739e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,time_exponent,,,,,,,,,,,,,,,,1.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"strong motor, 2.0 s horizon | zeros",,,,,,,,,,,,,,,,,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
4,"strong motor, 2.0 s horizon | hold",,,,,,,,,,,,,,,,,1,1,38.0,53.5075,53.5075,1,[1],,,,,,,,,,,,,,,,,,,,,
4,"strong motor, 2.0 s horizon | linear",,,,,,,,,,,,,,,,,1,1,10.0,53.5075,53.5075,1,[1],,,,,,,,,,,,,,,,,,,,,
4,"strong motor, 2.0 s horizon | random",,,,,,,,,,,,,,,,,10,10,14.5,53.5075,53.5075,1,[1],,,,,,,,,,,,,,,,,,,,,
4,"weak motor, 4.0 s horizon | zeros",,,,,,,,,,,,,,,,,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
