experiment,name,stones,area,ms,expanded,cost,steps,mean_len,max_len,mean_forward,mean_lat,dijkstra,astar,astar_optimal,ceil_expanded,ceil_optimal,optimal_cost,ceil_cost,linear_speedup,linear_optimal,ceil_speedup,of,ceil_mean_excess_pct,ceil_worst_excess_pct,actions,success_pct,mean_cost,mean_expanded,mean_ms,greedy,greedy_mean_progress_pct,solved,max_speed,uncapturable,found,omega
1,plan,18,2.07,350.4,281,8.6257,11,0.4014,0.5385,0.3727,0.1409,,,,,,,,,,,,,,,,,,,,,,,,,
2,seed_0,,,,,,,,,,,864,454,True,334,False,9.15935,9.17394,,,,,,,,,,,,,,,,,,
2,seed_2,,,,,,,,,,,772,445,True,376,False,9.13869,9.1494,,,,,,,,,,,,,,,,,,
2,seed_5,,,,,,,,,,,858,281,True,160,False,8.62572,8.71146,,,,,,,,,,,,,,,,,,
2,seed_6,,,,,,,,,,,860,478,True,371,True,9.22658,9.22658,,,,,,,,,,,,,,,,,,
2,seed_7,,,,,,,,,,,830,340,True,179,False,8.68198,8.69728,,,,,,,,,,,,,,,,,,
2,seed_8,,,,,,,,,,,862,813,True,770,False,10.94903,10.95187,,,,,,,,,,,,,,,,,,
2,seed_9,,,,,,,,,,,791,395,True,288,False,9.16923,9.21761,,,,,,,,,,,,,,,,,,
2,summary,,,,,,,,,,,,,,,1,,,1.999,7,2.975,7,0.333,0.994,,,,,,,,,,,,
3,lattice_3x2,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,,47.2,3.5,,,,,,,
3,lattice_5x3,,,,,,,,,,,,,,,,,,,,,,,,15,16.7,12.0722,252.2,60.2,,,,,,,
3,lattice_7x4,,,,,,,,,,,,,,,,,,,,,,,,28,41.7,10.3172,151.4,65.5,,,,,,,
3,lattice_13x7,,,,,,,,,,,,,,,,,,,,,,,,91,75.0,9.2789,531.3,679.0,,,,,,,
3,lattice_21x9,,,,,,,,,,,,,,,,,,,,,,,,189,75.0,9.1398,525.8,1365.9,,,,,,,
3,lattice_31x13,,,,,,,,,,,,,,,,,,,,,,,,403,75.0,9.0548,506.1,3089.0,,,,,,,
4,greedy_vs_astar,,,,,,,,,,,,18,,,,,,,,,24,,,,,,,,1,30.2,,,,,
5,size_0.34,,3.135,,,,,,,,,,,,,,,,,,,,,,,100.0,8.0746,552.6,,,,,,,,
5,size_0.28,,2.586,,,,,,,,,,,,,,,,,,,,,,,100.0,8.3822,491.2,,,,,,,,
5,size_0.24,,2.28,,,,,,,,,,,,,,,,,,,,,,,90.0,8.782,511.1,,,,,,,,
5,size_0.2,,2.02,,,,,,,,,,,,,,,,,,,,,,,75.0,9.4694,559.7,,,,,,,,
5,size_0.17,,1.856,,,,,,,,,,,,,,,,,,,,,,,50.0,9.8277,578.1,,,,,,,,
5,size_0.14,,1.719,,,,,,,,,,,,,,,,,,,,,,,0.0,,604.5,,,,,,,,
5,size_0.11,,1.608,,,,,,,,,,,,,,,,,,,,,,,0.0,,574.1,,,,,,,,
5,size_0.08,,1.524,,,,,,,,,,,,,,,,,,,,,,,0.0,,562.4,,,,,,,,
5,flat_ground,,,,1464,7.676,9,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
6,step0.35_quad0.0_lat0.6,,,,,,9,0.4796,,0.4556,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
6,step0.35_quad1.0_lat0.6,,,,,,9,0.4796,,0.4556,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
6,step0.35_quad3.0_lat0.6,,,,,,11,0.386,,0.3727,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,step0.35_quad8.0_lat0.6,,,,,,16,0.2751,,0.2562,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,step2.0_quad3.0_lat0.6,,,,,,9,0.4664,,0.4556,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,step0.35_quad3.0_lat0.0,,,,,,11,0.386,,0.3727,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,step0.35_quad3.0_lat4.0,,,,,,9,0.4796,,0.4556,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
7,step_time_0.35,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,2.241,10,,
7,step_time_0.5,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,2.003,10,,
7,step_time_0.65,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,10,,
7,step_time_0.8,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,10,,
7,step_time_1.0,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.889,10,,
7,step_time_1.4,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.886,10,,
7,stride_0.5,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.943,10,True,
7,stride_0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,stride_0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,stride_0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,stride_0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,height_0.5,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,2.409,10,,4.429
