experiment,where,mean_abs_e,max_abs_e,lap_time,L,w_rate,diverged,best_L,R,steady_offset,sagitta_prediction,cut_distance,omega_needed,v,min_stable_L,adaptive_L,adaptive_e,fixed_L,fixed_e,v0.5,v1.0,v1.5,v2.0,v2.5,pose_sigma,ctrl_hz,tuned_on,tracker,gain,evaluated_on,scenario,finished
1_error_by_segment,straight_interior,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_error_by_segment,arc_interior,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_error_by_segment,curvature_join,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_lap,,0.0099,0.0535,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.3593,1.5003,,0.15,5.287,1,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.2717,1.5008,,0.25,2.649,1,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0055,0.0216,,0.4,1.145,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0046,0.0228,,0.6,0.519,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0063,0.0361,,0.8,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0099,0.0535,,1.0,0.199,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0247,0.1006,,1.4,0.112,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.0534,0.1706,,1.8,0.076,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.1341,0.3345,,2.4,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.2617,0.5881,,3.0,0.037,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_lookahead,,0.5254,1.4139,,4.0,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_best,,0.0046,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.2,,,,2.0,2e-05,0.0025,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.4,,,,2.0,2e-05,0.01,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.8,,,,2.0,3e-05,0.04,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.2,,,,2.0,2e-05,0.09,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.8,,,,2.0,5e-05,0.2025,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,2.5,,,,2.0,0.00031,0.39062,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.2,,,,4.0,1e-05,0.00125,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.4,,,,4.0,1e-05,0.005,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.8,,,,4.0,1e-05,0.02,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.2,,,,4.0,1e-05,0.045,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.8,,,,4.0,1e-05,0.10125,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,2.5,,,,4.0,1e-05,0.19531,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.2,,,,8.0,1e-05,0.00063,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.4,,,,8.0,1e-05,0.0025,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,0.8,,,,8.0,1e-05,0.01,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.2,,,,8.0,1e-05,0.0225,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,1.8,,,,8.0,1e-05,0.05063,,,,,,,,,,,,,,,,,,,,,
3_circle,,,,,2.5,,,,8.0,1e-05,0.09766,,,,,,,,,,,,,,,,,,,,,
4_corner,,,1.5036,,0.2,,1,,,,,0.0063,7.07,,,,,,,,,,,,,,,,,,,
4_corner,,,1.5039,,0.4,,1,,,,,0.0315,3.54,,,,,,,,,,,,,,,,,,,
4_corner,,,0.1666,,0.7,,0,,,,,0.1525,2.02,,,,,,,,,,,,,,,,,,,
4_corner,,,0.2336,,1.0,,0,,,,,0.3303,1.41,,,,,,,,,,,,,,,,,,,
4_corner,,,0.3974,,1.5,,0,,,,,0.5631,0.94,,,,,,,,,,,,,,,,,,,
4_corner,,,0.5375,,2.0,,0,,,,,0.7642,0.71,,,,,,,,,,,,,,,,,,,
4_corner,,,0.8115,,3.0,,0,,,,,1.1513,0.47,,,,,,,,,,,,,,,,,,,
5_speed_L,,0.1956,,,0.2,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0033,,,0.35,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.003,,,0.5,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0045,,,0.75,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0088,,,1.0,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0238,,,1.4,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0764,,,2.0,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2196,,,2.8,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.416,,,0.2,,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0077,,,0.35,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0045,,,0.5,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0055,,,0.75,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0093,,,1.0,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0236,,,1.4,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0724,,,2.0,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2103,,,2.8,,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.3305,,,0.2,,1,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.3289,,,0.35,,1,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0066,,,0.5,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0059,,,0.75,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0089,,,1.0,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0208,,,1.4,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0658,,,2.0,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.1971,,,2.8,,0,,,,,,,1.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2839,,,0.2,,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2549,,,0.35,,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.1001,,,0.5,,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0046,,,0.75,,0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0073,,,1.0,,0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0172,,,1.4,,0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0579,,,2.0,,0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.1826,,,2.8,,0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2721,,,0.2,,1,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2372,,,0.35,,1,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.2393,,,0.5,,1,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0138,,,0.75,,0,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0074,,,1.0,,0,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0157,,,1.4,,0,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.0529,,,2.0,,0,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_speed_L,,0.1697,,,2.8,,0,,,,,,,2.5,,,,,,,,,,,,,,,,,,
5_boundary,,,,,,,,0.5,,,,,,0.5,0.2,,,,,,,,,,,,,,,,,
5_boundary,,,,,,,,0.5,,,,,,1.0,0.35,,,,,,,,,,,,,,,,,
5_boundary,,,,,,,,0.75,,,,,,1.5,0.5,,,,,,,,,,,,,,,,,
5_boundary,,,,,,,,0.75,,,,,,2.0,0.75,,,,,,,,,,,,,,,,,
5_boundary,,,,,,,,1.0,,,,,,2.5,0.75,,,,,,,,,,,,,,,,,
5_adaptive,,,,,,,,,,,,,,0.5,,0.47,0.003,0.75,0.0045,,,,,,,,,,,,,
5_adaptive,,,,,,,,,,,,,,1.0,,0.6,0.0046,0.75,0.0055,,,,,,,,,,,,,
5_adaptive,,,,,,,,,,,,,,1.5,,0.72,0.0058,0.75,0.0059,,,,,,,,,,,,,
5_adaptive,,,,,,,,,,,,,,2.0,,0.85,0.0053,0.75,0.0046,,,,,,,,,,,,,
5_adaptive,,,,,,,,,,,,,,2.5,,0.97,0.0075,0.75,0.0138,,,,,,,,,,,,,
5_best_L_per_speed,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.75,0.75,1.0,,,,,,,,
6_rate,,,0.8798,,0.15,16.224,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,1.5055,,0.2,4.638,1,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0081,,0.25,0.342,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0043,,0.3,0.158,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0034,,0.4,0.102,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0064,,0.5,0.087,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.013,,0.65,0.079,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0222,,0.8,0.077,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0384,,1.0,0.076,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.0592,,1.2,0.075,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.1156,,1.6,0.077,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,0.1984,,2.0,0.078,0,,,,,,,,,,,,,,,,,,0.0,50.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.0,50.0,,,,,,
6_rate,,,1.5017,,0.15,2.121,1,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,1.3492,,0.2,2.458,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,1.5002,,0.25,1.399,1,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0084,,0.3,0.114,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0043,,0.4,0.048,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
