experiment,success,time_s,path_len,min_clear,ms_per_call,map,planner,n,collided,timed_out,rate,mean_len,mean_time,weights,w_head,w_clear,w_vel,mean_min_clear,frozen_frac,sim_time,admissible,braking_dist,nv,nw,n_candidates,dv_per_sample,dw_per_sample,predict,obs_speed,collision_rate
1_run,1,21.1,17.28,0.9,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
2_layers,6,,,,,rooms,DWA alone,12,0,6,0.5,21.23,33.6,,,,,,,,,,,,,,,,,
2_layers,9,,,,,rooms,DWA + A*,12,0,3,0.75,15.2,26.5,,,,,,,,,,,,,,,,,
2_layers,0,,,,,trap,DWA alone,5,0,5,0.0,,,,,,,,,,,,,,,,,,,
2_layers,5,,,,,trap,DWA + A*,5,0,0,1.0,16.41,20.6,,,,,,,,,,,,,,,,,
2_layers,10,,,,,clutter,DWA alone,12,0,2,0.833,14.52,27.7,,,,,,,,,,,,,,,,,
2_layers,12,,,,,clutter,DWA + A*,12,0,0,1.0,12.78,33.5,,,,,,,,,,,,,,,,,
3_weights,,,,,,,,,0,0,1.0,12.78,33.5,balanced,1.0,1.6,0.35,0.438,0.0,,,,,,,,,,,
3_weights,,,,,,,,,0,3,0.75,12.17,25.9,goal only,1.0,0.0,0.0,0.29,0.292,,,,,,,,,,,
3_weights,,,,,,,,,0,12,0.0,nan,nan,timid (clearance x4),1.0,6.4,0.35,0.556,0.0,,,,,,,,,,,
3_weights,,,,,,,,,0,4,0.667,13.61,15.1,greedy speed,1.0,0.4,2.0,0.409,0.083,,,,,,,,,,,
3_weights,,,,,,,,,0,12,0.0,nan,nan,no goal term,0.0,1.6,1.0,0.497,0.0,,,,,,,,,,,
4_horizon,,,,,,,,,,,0.333,,19.4,,,,,,,0.3,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.667,,18.6,,,,,,,0.6,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,1.0,,23.5,,,,,,,1.0,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,1.0,,25.7,,,,,,,1.5,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,1.0,,33.5,,,,,,,2.0,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.75,,38.6,,,,,,,3.0,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.667,,40.2,,,,,,,4.0,1,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.083,,15.4,,,,,,,0.3,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.833,,16.9,,,,,,,0.6,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.917,,23.0,,,,,,,1.0,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,1.0,,23.4,,,,,,,1.5,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,1.0,,30.2,,,,,,,2.0,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.833,,36.4,,,,,,,3.0,0,0.42,,,,,,,,
4_horizon,,,,,,,,,,,0.75,,48.7,,,,,,,4.0,0,0.42,,,,,,,,
5_samples,,,,,0.265,,,,,,1.0,13.8,,,,,,,,,,,3,5,15,0.12,0.125,,,
5_samples,,,,,0.297,,,,,,0.917,12.97,,,,,,,,,,,5,9,45,0.06,0.0625,,,
5_samples,,,,,0.333,,,,,,1.0,12.75,,,,,,,,,,,7,15,105,0.04,0.0357,,,
5_samples,,,,,0.452,,,,,,1.0,12.78,,,,,,,,,,,13,27,351,0.02,0.0192,,,
5_samples,,,,,0.743,,,,,,1.0,12.68,,,,,,,,,,,21,41,861,0.012,0.0125,,,
5_samples,,,,,1.286,,,,,,1.0,12.65,,,,,,,,,,,31,61,1891,0.008,0.0083,,,
6_moving,,,,,,,,30,,,0.9,,17.6,,,,,,,,,,,,,,,0,0.0,0.0
6_moving,,,,,,,,30,,,0.967,,18.5,,,,,,,,,,,,,,,0,0.25,0.033
6_moving,,,,,,,,30,,,0.667,,19.6,,,,,,,,,,,,,,,0,0.5,0.333
6_moving,,,,,,,,30,,,0.667,,19.4,,,,,,,,,,,,,,,0,0.75,0.333
6_moving,,,,,,,,30,,,0.7,,18.6,,,,,,,,,,,,,,,0,1.0,0.3
6_moving,,,,,,,,30,,,0.9,,17.5,,,,,,,,,,,,,,,0,1.5,0.1
6_moving,,,,,,,,30,,,0.9,,17.6,,,,,,,,,,,,,,,1,0.0,0.0
6_moving,,,,,,,,30,,,1.0,,17.5,,,,,,,,,,,,,,,1,0.25,0.0
6_moving,,,,,,,,30,,,1.0,,17.9,,,,,,,,,,,,,,,1,0.5,0.0
6_moving,,,,,,,,30,,,1.0,,18.4,,,,,,,,,,,,,,,1,0.75,0.0
6_moving,,,,,,,,30,,,1.0,,18.7,,,,,,,,,,,,,,,1,1.0,0.0
6_moving,,,,,,,,30,,,1.0,,17.4,,,,,,,,,,,,,,,1,1.5,0.0
