experiment,achieved_speed_range,lap_time,mean_abs_lat,max_abs_lat,mean_speed,ms_per_step,max_ms,a_brake,N,horizon_s,braking_time_needed_s,off_track_frac,finished,profile_speed_drop,need_at_3,need_at_6,need_at_12,d_rate,plant,a_lat_target,controller,track_half_width,constraint,solver_fail_frac,compensated,delay_steps,delay_ms
1_lap,8.06,16.3,0.315,1.028,14.05,23.6,129.1,,,,,,,,,,,,,,,,,,,,
2_horizon,,,5.303,16.334,,7.0,,-3.0,3,0.3,2.72,0.566,0,,,,,,,,,,,,,,
2_horizon,,,9.872,10.545,,8.8,,-3.0,5,0.5,2.72,0.929,0,,,,,,,,,,,,,,
2_horizon,,15.7,0.971,3.02,,10.9,,-3.0,8,0.8,2.72,0.0,1,,,,,,,,,,,,,,
2_horizon,,15.9,0.823,2.573,,14.6,,-3.0,12,1.2,2.72,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.1,0.589,1.989,,22.3,,-3.0,20,2.0,2.72,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.2,0.457,1.702,,44.0,,-3.0,35,3.5,2.72,0.0,1,,,,,,,,,,,,,,
2_horizon,,,9.449,14.633,,6.6,,-6.0,3,0.3,1.36,0.95,0,,,,,,,,,,,,,,
2_horizon,,,7.833,8.336,,8.3,,-6.0,5,0.5,1.36,0.929,0,,,,,,,,,,,,,,
2_horizon,,16.3,0.417,1.414,,10.9,,-6.0,8,0.8,1.36,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.334,1.121,,16.1,,-6.0,12,1.2,1.36,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.315,1.028,,21.2,,-6.0,20,2.0,1.36,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.277,0.996,,43.8,,-6.0,35,3.5,1.36,0.0,1,,,,,,,,,,,,,,
2_horizon,,,10.69,11.423,,6.6,,-12.0,3,0.3,0.68,0.958,0,,,,,,,,,,,,,,
2_horizon,,,5.91,6.256,,9.7,,-12.0,5,0.5,0.68,0.929,0,,,,,,,,,,,,,,
2_horizon,,16.3,0.372,1.226,,11.0,,-12.0,8,0.8,0.68,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.3,0.956,,14.5,,-12.0,12,1.2,0.68,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.291,0.9,,22.6,,-12.0,20,2.0,0.68,0.0,1,,,,,,,,,,,,,,
2_horizon,,16.3,0.249,0.861,,42.1,,-12.0,35,3.5,0.68,0.0,1,,,,,,,,,,,,,,
2_prediction,,,,,,,,,,,,,,8.15,2.72,1.36,0.68,,,,,,,,,,
2_steer_rate,,,,16.012,,,,,3,0.3,,0.492,0,,,,,0.4,,,,,,,,,
2_steer_rate,,,,7.345,,,,,5,0.5,,0.931,0,,,,,0.4,,,,,,,,,
2_steer_rate,,,,1.453,,,,,8,0.8,,0.0,1,,,,,0.4,,,,,,,,,
2_steer_rate,,,,1.128,,,,,12,1.2,,0.0,1,,,,,0.4,,,,,,,,,
2_steer_rate,,,,14.633,,,,,3,0.3,,0.95,0,,,,,1.2,,,,,,,,,
2_steer_rate,,,,8.336,,,,,5,0.5,,0.929,0,,,,,1.2,,,,,,,,,
2_steer_rate,,,,1.414,,,,,8,0.8,,0.0,1,,,,,1.2,,,,,,,,,
2_steer_rate,,,,1.121,,,,,12,1.2,,0.0,1,,,,,1.2,,,,,,,,,
2_steer_rate,,,,14.972,,,,,3,0.3,,0.95,0,,,,,4.0,,,,,,,,,
2_steer_rate,,,,8.417,,,,,5,0.5,,0.929,0,,,,,4.0,,,,,,,,,
